predicate,argument,role_type,reasons 1,reasons 2,reasons 3
advise,banker,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.","The argument 'banker' has the property of being a financial advisor or counselor, which is relevant to the predicate 'advise'.",The argument 'banker' fits the ARG0 role for the predicate 'advise' because it is the person or entity being advised.
advise,banker,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'banker' has the property of being a financial advisor or expert in banking.,"The argument 'banker' fits the ARG1 role for the predicate 'advise' because it is the person or entity that is being advised. The banker is providing advice to someone else, and the ARG1 role represents the person or entity that is being advised."
advise,biologist,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'biologist' has the property of being a person or entity that is being advised.,The argument 'biologist' fits the ARG0 role for the predicate 'advise' because it is the person or entity that is being advised.
advise,biologist,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'biologist' has the property of being a person or entity that is being advised.,The argument 'biologist' fits the ARG1 role for the predicate 'advise' because it is the person or entity that is being advised.
advise,business,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.","The argument 'business' has the property of being the object of the action of 'advise', which is the entity that is being advised.",The argument 'business' fits the ARG0 role for the predicate 'advise' because it is the entity that is being advised.
advise,business,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.","The argument 'business' has the property of being the object of the action of 'advise', which is the entity that is being advised.",The argument 'business' fits the ARG1 role for the predicate 'advise' because it is the entity that is being advised.
advise,client,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'client' has the property of being the person or entity that is seeking advice.,The argument 'client' fits the ARG0 role for the predicate 'advise' because it is the person or entity that is seeking advice.
advise,client,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.","The argument 'client' has the properties of being the person or entity that is seeking advice, and the role of the advised.",The argument 'client' fits the ARG1 role for the predicate 'advise' because it is the person or entity that is seeking advice.
advise,customer,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.","The argument 'customer' has the properties of being the person or entity that is being advised, and the role of the advised is represented by the ARG0 role.",The argument 'customer' fits the ARG0 role for the predicate 'advise' because it is the person or entity that is being advised.
advise,customer,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'customer' has the properties of being the person or entity that is being advised.,The argument 'customer' fits the ARG1 role for the predicate 'advise' because it is the person or entity that is being advised.
advise,designer-gardener,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'designer-gardener' has the properties of being a person who is both a designer and a gardener.,"The argument 'designer-gardener' will not fit the ARG0 role for the predicate 'advise' because the ARG0 role is typically used to refer to the person or entity that is being advised, and the argument 'designer-gardener' is not a person or entity. Instead, the argument 'designer-gardener' is a combination of two roles, 'designer' and 'gardener', which are not typically used as a single argument in the predicate 'advise'."
advise,designer-gardener,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.","The argument 'designer-gardener' has the properties of being a person who is knowledgeable about design and a person who is knowledgeable about gardening, and is being used as the ARG1 role in the predicate 'advise'.","The argument 'designer-gardener' will fit the ARG1 role for the predicate 'advise' because it is a person who is knowledgeable about design and a person who is knowledgeable about gardening, and is being used as the ARG1 role in the predicate 'advise'."
advise,doctor,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'doctor' has the property of being a medical professional who provides advice and treatment to patients.,The argument 'doctor' fits the ARG0 role for the predicate 'advise' because it is the person or entity that is being advised.
advise,doctor,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'doctor' has the property of being a medical professional who provides advice and treatment to patients.,The argument 'doctor' fits the ARG1 role for the predicate 'advise' because it is a medical professional who provides advice and treatment to patients.
advise,expert,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.","The argument 'expert' has the property of being an expert in the field of advice, and is therefore relevant to the role of ARG0 in the predicate 'advise'.",The argument 'expert' fits the ARG0 role for the predicate 'advise' because it is an expert in the field of advice and is providing advice to the person or entity being advised.
advise,expert,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.","The argument 'expert' has the property of being an expert in the field of advice, and is therefore relevant to the role of ARG1 in the predicate 'advise'.",The argument 'expert' fits the ARG1 role for the predicate 'advise' because it is an expert in the field of advice and is providing advice to the person or entity being advised.
advise,hospital,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'hospital' has the property of being a location where advice is being sought.,"The argument 'hospital' does not fit the ARG0 role for the predicate 'advise' because the hospital is not the person or entity that is being advised. The ARG0 role is typically filled by the person or entity that is seeking advice, while the ARG1 role is filled by the person or entity that is providing the advice. In the case of the predicate 'advise', the ARG0 role is typically filled by a person or entity that is seeking advice, while the ARG1 role is filled by the person or entity that is providing the advice."
advise,hospital,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'hospital' has the property of being a location where medical advice is given.,The argument 'hospital' fits the ARG1 role for the predicate 'advise' because it is the location where medical advice is given.
advise,investor,ARG0,"The ARG0 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG1 role.",The argument 'investor' has the property of being the person or entity that is being advised.,The argument 'investor' will fit the ARG0 role for the predicate 'advise' because the investor is the person or entity that is being advised.
advise,investor,ARG1,"The ARG1 role for the predicate 'advise' should have the properties of being the person or entity that is being advised, and the role of the advisor should be represented by the ARG2 role.",The argument 'investor' has the property of being the person or entity that is being advised.,The argument 'investor' fits the ARG1 role for the predicate 'advise' because it is the person or entity that is being advised.
