predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.0
serve,restaurant,7,0.0
serve,hospital,5.1,0.0
sweep,living room,2.3,0.0
sweep,bathroom,4.8,0.0
sweep,restaurant,6.1,0.0
sweep,kitchen,6.8,0.0
sweep,barn,4.6,0.0
sweep,theatre,4.7,0.0
act,stage,6.9,0.0
act,school,5.1,0.0
act,work,2.9,0.0
act,theater,6.9,0.0
act,party,4.1,0.0
act,gymnasium,3.7,0.0
act,playground,2.9,0.0
examine,hospital,6.9,0.0
examine,office,4.7,0.0
examine,laboratory,6.8,0.25
examine,school,5.2,0.0
examine,court,5.9,0.0
examine,bank,3.8,0.0
gamble,bar,4.3,0.25
gamble,racetrack,6.8,0.25
gamble,casino,7,0.25
gamble,hotel,3.5,0.25
gamble,party,3.5,0.0
gamble,mall,2,0.0
gamble,airport,1.8,0.25
gamble,arena,3.8,0.0
drive,highway,7,0.0
drive,racetrack,6.2,0.0
drive,rink,2.8,0.0
drive,sidewalk,2.1,0.0
drive,ditch,1.7,0.0
drive,field,3.7,0.0
hunt,forest,6.9,0.0
hunt,lake,4.3,0.0
hunt,backyard,2.2,0.0
hunt,ocean,3.2,0.0
hunt,swamp,3.5,0.0
hunt,meadow,4.1,0.0
hunt,garden,2,0.0
browse,store,6.9,0.0
browse,classroom,2.5,0.0
browse,library,6.2,0.0
browse,gallery,6.8,0.0
browse,museum,6.6,0.0
browse,bar,3.2,0.25
bury,sandbox,6.3,0.0
bury,concrete,2.9,0.0
bury,ground,6.1,0.0
bury,cemetery,7,0.0
bury,dump,4.8,0.0
bury,subway,1.4,0.0
mingle,party,6.9,1.0
mingle,mall,4.3,0.25
mingle,office,4,0.5
mingle,bar,6.7,0.75
mingle,graduation,6.2,0.25
mingle,wedding,6.4,0.75
marry,house,4.4,0.0
marry,church,7,0.0
marry,island,3.7,0.0
marry,backyard,4.8,0.0
marry,prison,1.4,0.0
marry,brewery,1,0.0
applaud,classroom,4.3,0.0
applaud,concert,6.9,0.0
applaud,restaurant,2,0.0
applaud,playground,2,0.0
applaud,theater,6.9,0.0
applaud,arena,6.3,0.0
applaud,stadium,6.7,0.0
applaud,convention,5.5,0.0
beg,school,3.8,0.0
beg,street,5.6,0.0
beg,prison,4.6,0.0
beg,court,5.3,0.0
beg,sidewalk,4.4,0.0
beg,church,2.9,0.0
beg,casino,3.5,0.0
testify,office,2.5,0.0
testify,courtroom,7,0.0
testify,police station,5.8,0.0
testify,classroom,2.5,0.0
testify,planetarium,1.4,0.0
testify,store,1.4,0.25
testify,jail,3.3,0.0
wait,hospital,6.3,0.0
wait,restaurant,6.2,0.0
wait,office,5,0.0
wait,school,3.5,0.0
wait,lineup,7,0.0
wait,bedroom,1.6,0.0
swim,bathtub,2.3,0.0
swim,lake,6.7,0.0
swim,pool,7,0.0
swim,puddle,1.2,0.0
swim,ocean,6.6,0.0
swim,beach,6.2,0.0
swim,desert,1,0.0
swim,swamp,1.5,0.0
swim,creek,2.9,0.0
pray,temple,6.8,0.25
pray,church,7,0.5
pray,casino,4.2,0.0
pray,school,4.1,0.0
pray,cemetery,6,0.0
pray,kitchen,2.2,0.0
pray,theatre,1.5,0.0
confess,church,6.9,0.0
confess,school,4.2,0.0
confess,court,6,0.0
confess,office,3,0.0
confess,studio,1.7,0.25
confess,hearing,5.3,0.0
confess,jail,3.8,0.0
sleep,bathtub,2.2,0.0
sleep,tent,5.9,0.0
sleep,bedroom,7,0.0
sleep,hotel,6.3,0.0
sleep,chair,4.6,0.0
sleep,car,4.1,0.0
sleep,trailer,5.6,0.0
sleep,concert,1.5,0.0
wash,lake,4,0.25
wash,bathroom,7,0.0
wash,laundromat,4.9,0.25
wash,puddle,1.2,0.0
wash,pool,2.5,0.0
wash,factory,2.5,0.0
wash,hospital,5.6,0.0
run,house,2.8,0.0
run,track,6.9,0.5
run,treadmill,6.8,0.75
run,gymnasium,6.4,0.25
run,sidewalk,5.5,0.25
run,road,5.2,0.25
run,restaurant,1.3,0.0
fish,ocean,6.4,0.0
fish,lake,6.8,0.0
fish,pool,1.1,0.0
fish,puddle,1,0.0
fish,pond,5,0.0
fish,river,6.2,0.0
fish,swamp,2.5,0.0
weigh,supermarket,6.7,0.25
weigh,bathroom,6.4,0.25
weigh,gymnasium,5.7,0.0
weigh,hospital,5.5,0.0
weigh,restaurant,3.6,0.0
weigh,sauna,2.5,0.0
weigh,bar,1.6,0.0
weigh,classroom,2.6,0.0
weigh,delicatessen,6.3,0.0
rescue,lake,5.9,0.0
rescue,tree,4.8,0.5
rescue,house,4.9,0.0
rescue,park,3.9,0.0
rescue,cave,3.8,0.0
rescue,mine,4.4,0.0
rescue,ocean,4.8,0.0
rescue,battlefield,6,0.0
rescue,prison,2.8,0.0
exercise,car,1.4,0.0
exercise,gymnasium,7,0.25
exercise,house,5.1,0.25
exercise,school,4.9,0.25
exercise,track,6.9,0.75
exercise,stadium,4.4,0.75
exercise,campground,3.5,0.25
study,mall,1.6,0.25
study,library,6.9,0.25
study,bank,1.5,0.25
study,gymnasium,2.1,0.25
study,car,2.5,0.0
study,office,4.4,0.25
study,bedroom,5.8,0.0
study,dormitory,5.7,0.0
study,classroom,6.2,0.75
escape,hospital,3.4,0.0
escape,prison,4.3,0.0
escape,school,3.5,0.0
escape,resort,2.7,0.0
escape,gymnasium,2.3,0.0
escape,campground,2.5,0.0
deposit,library,4.7,0.0
deposit,bank,7,0.0
deposit,hospital,3.4,0.0
deposit,store,3.2,0.0
deposit,instabank,6.2,0.75
deposit,hotel,4.2,0.0
deposit,kitchen,2.3,0.0
mourn,party,1.6,0.0
mourn,funeral,7,0.0
mourn,wedding,2.2,0.0
mourn,bank,1.8,0.0
mourn,cemetery,6.8,0.0
mourn,temple,5.6,0.0
mourn,theatre,2,0.0
worship,theater,1.6,0.25
worship,chapel,6.7,0.75
worship,school,2.9,0.0
worship,bar,1.4,0.0
worship,temple,6.8,0.0
worship,cemetery,4.3,0.25
eat,restaurant,7,0.0
eat,kitchen,7,0.0
eat,pub,4.9,0.0
eat,delicatessen,5.3,0.0
eat,stadium,4.7,0.0
eat,lobby,2.6,0.0
eat,bedroom,3.5,0.0
shower,gymnasium,4.8,0.0
shower,bathroom,6.9,0.0
shower,pool,2.3,0.0
shower,field,1.2,0.0
shower,sauna,2.2,0.0
shower,cottage,4.3,0.0
cook,kitchen,7,0.25
cook,restaurant,6.8,0.0
cook,trailer,5,0.0
cook,mall,3.2,0.0
cook,campground,4.9,0.25
cook,cabin,5.2,0.0
cook,tent,2.2,0.0
sell,store,7,0.25
sell,street,5.4,0.25
sell,market,6.6,0.75
sell,mall,6.9,0.25
sell,arena,4.9,0.25
sell,driveway,2.5,0.0
