predicate,argument,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
serve,plate,The waiter served the plate of spaghetti to the customer with a smile.,The chef served the plate of sushi to the customer with a bowl of soy sauce.,The server served the plate of fries to the customer with a side of ketchup.,The waiter served the plate of pasta to the customer with a side of garlic bread.,The chef served the plate of chicken to the customer with a side of rice.
serve,tray,The waiter served the tray of drinks on the table.,The waiter used the tray to carry the drinks to the table.,The waiter placed the tray of drinks on the table.,The waiter served the tray of drinks to the customer.,The waiter used the tray to hold the drinks while the customer was served.
serve,glass,The waiter served the glass of water with a smile.,The bartender served the drink with a flourish.,The chef served the meal with a flourish.,The server served the food with a smile.,The waiter served the dessert with a flourish.
serve,platter,The waiter served the platter with the main course.,The chef served the platter with the appetizer.,The server served the platter with the dessert.,The waiter served the platter with the drinks.,The chef served the platter with the side dishes.
serve,bucket,The bucket served as a container for the water.,The bucket served as a tool for pouring the water.,The bucket served as a vessel for the water.,The bucket served as a receptacle for the water.,"The bucket served as a container for the water, and it was used to pour the water into the sink."
sweep,mop,The mop swept the floor with ease.,The sweep of the mop was soothing to the carpet.,The mop swept up the crumbs with a satisfying swish.,The sweep of the mop was a relief after a messy day.,The mop swept away the dirt with a quick motion.
sweep,rag,The maid swept the floor with a rag.,The janitor swept the sidewalk with a broom.,The gardener swept the leaves with a rake.,The chef swept the kitchen with a duster.,The teacher swept the classroom with a mop.
sweep,broom,The broom swept the floor.,The sweep of the broom cleaned the floor.,The broom swept the floor with ease.,The sweep of the broom was quick and efficient.,The broom swept the floor with a gentle touch.
sweep,rake,The sweep of the rake across the floor was soothing.,The rake swept up the leaves with ease.,The sweep of the rake was a gentle caress.,The rake swept away the dirt with a satisfying swish.,The sweep of the rake was a soothing balm for the soul.
sweep,brush,The sweep of the brush across the floor was soothing.,The brush swept up the dirt and dust with ease.,The brush was swept clean by the broom.,The sweep of the brush across the floor was soothing.,The brush swept up the dirt and dust with ease.
sweep,rock,The broom swept the floor with ease.,The sweep of the broom was so smooth.,The rock was swept away by the broom.,The broom swept the rock clean.,The sweep of the broom was so powerful.
write,pen,I wrote the letter with a pen.,She wrote the report with a pen.,He wrote the book with a pen.,They wrote the article with a pen.,We wrote the story with a pen.
write,keyboard,I wrote the letter on the keyboard.,The keyboard was used to write the essay.,The keyboard was the instrument used to write the poem.,The keyboard was the tool used to write the story.,The keyboard was the device used to write the email.
write,thesaurus,The thesaurus was used to write the essay.,The thesaurus was used to write the letter.,The thesaurus was used to write the poem.,The thesaurus was used to write the story.,The thesaurus was used to write the article.
write,stick,The pen writes on the paper.,The pencil writes on the notebook.,The marker writes on the board.,The crayon writes on the canvas.,The ink writes on the paper.
write,pencil,The pencil wrote the letter.,The pencil wrote the poem.,The pencil wrote the story.,The pencil wrote the essay.,The pencil wrote the report.
write,desk,I wrote the letter on the desk with a pen.,The teacher wrote the exam on the desk with a pencil.,The student wrote the essay on the desk with a pen.,The author wrote the book on the desk with a pen.,The artist wrote the poem on the desk with a pen.
write,wire,The wire was used to write the letter.,The pen was used to write the note.,The pencil was used to write the essay.,The pen was used to write the signature.,The pen was used to write the message.
write,sword,The writer used a sword to write the letter.,The sword was used by the writer to write the letter.,The writer used the sword to write the letter with.,The sword was used to write the letter by the writer.,The writer wrote the letter with a sword.
write,box,I wrote the letter in the box with a pen.,The box was used as an instrument to write the letter.,The letter was written in the box using a pen as an instrument.,The pen was used as an instrument to write the letter in the box.,The letter was written in the box with a pen as an instrument.
paint,brush,The artist used a paintbrush to paint the canvas.,The painter used a paintbrush to apply paint to the canvas.,The artist used a paintbrush to mix paint with water.,The painter used a paintbrush to clean the brush.,The artist used a paintbrush to create a painting.
paint,roller,The painter used a roller to paint the canvas.,The roller was used by the painter to paint the canvas.,The roller was used to paint the canvas by the painter.,The painter painted the canvas with a roller.,The roller was used to paint the canvas.
paint,straw,The artist used straw to paint the canvas.,The painter used straw as a paintbrush to paint the picture.,The artist used straw to create a beautiful painting.,The painter used straw to add color to the canvas.,The artist used straw to create a vibrant painting.
paint,paint,The artist used paint as an instrument to create the painting.,The artist used paint as a tool to apply the colors to the canvas.,The artist used paint as a medium to express their creativity.,The artist used paint as a means to convey their message.,The artist used paint as a way to bring their vision to life.
paint,can,The can of paint can be used to paint the wall.,The paint can is used to paint the wall.,The paint can is used to paint the ceiling.,The paint can is used to paint the furniture.,The paint can is used to paint the floor.
paint,sponge,The sponge was used to paint the wall.,The sponge was used to paint the ceiling.,The sponge was used to paint the furniture.,The sponge was used to paint the car.,The sponge was used to paint the house.
paint,rag,The artist used a rag to paint the canvas.,The painter used a rag to clean the brushes.,The cleaning crew used rags to wipe down the furniture.,The nurse used a rag to clean the baby's face.,The artist used a rag to dry the paintbrushes.
shoot,gun,I shot the gun.,He shot the gun with a high velocity.,She shot the gun with a low velocity.,They shot the gun with a medium velocity.,We shot the gun with a high velocity.
shoot,straw,The straw shoot was too long and kept getting in the way.,The straw shoot was too short and didn't provide enough suction.,The straw shoot was too thick and made it difficult to blow.,The straw shoot was too thin and didn't provide enough airflow.,The straw shoot was too bent and kept falling out of the way.
shoot,rifle,I shot the deer with my rifle.,He shot the intruder with his rifle.,She shot the target with her rifle.,They shot the enemy with their rifles.,We shot the aliens with our rifles.
shoot,cannon,The cannon shot the target.,The cannon fired a bullet at the target.,The cannon blasted the target with a bullet.,The cannon hit the target with a bullet.,The cannon fired a bullet at the target and hit it.
shoot,pistol,I shot the pistol with my hand.,The pistol was shot by the police.,The pistol was shot by the criminal.,The pistol was shot by the assassin.,The pistol was shot by the marksman.
shoot,tank,The tank shot the enemy.,The enemy was shot by the tank.,The tank fired at the enemy.,The enemy was fired upon by the tank.,The tank hit the enemy.
shoot,arrow,The hunter shot the deer with an arrow.,The archer shot the target with a bow and arrow.,The sniper shot the enemy with a rifle and scope.,The marksman shot the bull with a rifle and scope.,The hunter shot the deer with a crossbow and bolt.
dust,Kleenex,Kleenex dusts the table.,The dusting of the table with Kleenex is complete.,Kleenex is used to dust the table.,The table is dusted with Kleenex.,Kleenex is used to dust the table thoroughly.
dust,rag,The rag dusted the furniture.,The rag was used to dust the furniture.,The rag was used to clean the furniture.,The rag was used to polish the furniture.,The rag was used to wipe down the furniture.
dust,sock,The dust in the sock made it difficult to walk.,"The sock was covered in dust, making it uncomfortable to wear.",The dust in the sock was a sign of poor cleaning.,"The sock was a mess, with dust all over it.","The dust in the sock was a problem, as it made it difficult to see what was inside."
dust,cloth,The cloth was dusted with a soft cloth.,The cloth was dusted with a gentle touch.,The cloth was dusted with a soft brush.,The cloth was dusted with a soft cloth and a gentle touch.,The cloth was dusted with a soft brush and a gentle touch.
dust,water,The dust in the water made it difficult to see.,"The water was covered in dust, making it hard to swim.",The dust in the air made it hard to breathe.,The dust on the floor made it slippery to walk on.,The dust in the car made it difficult to start the engine.
dust,beer,The dust on the beer was a sign of a dirty glass.,"The beer was dusty, but it was still delicious.","The beer was a bit dusty, but it was still worth trying.","The beer was dusty, but it was still worth a try.","The beer was dusty, but it was still worth a shot."
cut,knife,The knife cut the cake.,The knife cut the rope.,The knife cut the meat.,The knife cut the vegetables.,The knife cut the fruit.
cut,paper,The knife cut the paper.,The scissors cut the paper.,The paper cut the knife.,The paper cut the scissors.,The knife cut the scissors.
cut,fork,The chef used a sharp knife to cut the vegetables.,The chef used a fork to cut the meat.,The chef used a knife to cut the bread.,The chef used a knife to cut the cheese.,The chef used a knife to cut the fruit.
cut,saw,The saw cut the wood.,The wood was cut by the saw.,The saw was used to cut the wood.,The wood was cut with the saw.,The saw was used to cut the wood with precision.
cut,scissors,The scissors cut the paper.,The paper was cut by the scissors.,The scissors cut the paper into smaller pieces.,The paper was cut into smaller pieces by the scissors.,The scissors cut the paper into a neat square.
cut,teeth,I cut my teeth on a piece of cheese.,The knife cut the meat into small pieces.,The scissors cut the paper into strips.,The saw cut the wood into planks.,The razor cut my beard into a neat trim.
cut,razor,The razor cut the apple in half.,The razor cut the cake with ease.,The razor cut the rope with a single stroke.,The razor cut the fabric with precision.,The razor cut the hair with a sharp blade.
eat,fork,I used a fork to eat my salad.,The waiter used a fork to serve me my dinner.,The chef used a fork to stir the pot.,The chef used a fork to scoop up the soup.,The chef used a fork to pick up the spoon.
