predicate,argument,role_type,reasons 1,reasons 2,reasons 3
abandon,baby,ARG0,The ARG0 role for the predicate 'abandon' should have the properties of being the agent performing the action.,"The argument 'baby' has the property of being the patient of the action, as it is the entity that is being abandoned.",The argument 'baby' will fit the ARG0 role for the predicate 'abandon' because it is the entity that is being abandoned.
abandon,baby,ARG1,The ARG1 role for the predicate 'abandon' should have the properties of being the agent or the person who is abandoning something.,The argument 'baby' has the property of being the patient or the thing that is being abandoned.,The argument 'baby' fits the ARG1 role for the predicate 'abandon' because it is the person or thing that is being abandoned.
abandon,cat,ARG0,The ARG0 role for the predicate 'abandon' should have the properties of being the agent performing the action.,The argument 'cat' has the property of being the patient of the action.,"The argument 'cat' will not fit the ARG0 role for the predicate 'abandon' because the cat is not the agent performing the action of abandoning something. The agent performing the action is the person or entity that is abandoning something, not the thing being abandoned."
abandon,cat,ARG1,The ARG1 role for the predicate 'abandon' should have the properties of being the agent or the person who is abandoning something.,"The argument 'cat' has the property of being a living being, which is relevant to the predicate 'abandon' because it implies that the cat is capable of being abandoned.",The argument 'cat' fits the ARG1 role for the predicate 'abandon' because it is the subject of the sentence and is the entity that is being abandoned.
abandon,child,ARG0,The ARG0 role for the predicate 'abandon' should have the properties of being the agent performing the action.,"The argument 'child' has the property of being the patient of the action, as it is the entity that is being abandoned.",The argument 'child' fits the ARG0 role for the predicate 'abandon' because it is the entity that is being abandoned.
abandon,child,ARG1,The ARG1 role for the predicate 'abandon' should have the properties of being the agent or the person who is abandoning something.,The argument 'child' has the property of being the entity that is being abandoned.,The argument 'child' fits the ARG1 role for the predicate 'abandon' because it is the entity that is being abandoned.
abandon,kidnapper,ARG0,The ARG0 role for the predicate 'abandon' should have the properties of being the agent performing the action.,The argument 'kidnapper' has the property of being the agent performing the action of abandoning the child.,The argument 'kidnapper' fits the ARG0 role for the predicate 'abandon' because it is the agent performing the action of abandoning the child.
abandon,kidnapper,ARG1,The ARG1 role for the predicate 'abandon' should have the properties of being the agent or the person who is abandoning something.,The argument 'kidnapper' has the property of being the agent or the person who is abandoning something.,"The argument 'kidnapper' fits the ARG1 role for the predicate 'abandon' because it is the person or entity that is abandoning something, which is the subject of the sentence."
accept,award,ARG0,The ARG0 role for the predicate 'accept' should have the properties of being the subject of the sentence and the person or entity that is accepting something.,The argument 'award' has the properties of being the direct object of the predicate 'accept'.,"The argument 'award' will fit the ARG0 role for the predicate 'accept' because it is the direct object of the sentence, and it is the thing that is being accepted."
accept,award,ARG1,The ARG1 role for the predicate 'accept' should have the properties of being the person or entity that is accepting something.,The argument 'award' has the property of being the thing that is being accepted.,"The argument 'award' fits the ARG1 role for the predicate 'accept' because it is the thing that is being accepted. In the sentence ""The award was accepted by the winner,"" the award is the thing that is being accepted, and it is the ARG1."
accept,friend,ARG0,The ARG0 role for the predicate 'accept' should have the properties of being the subject of the sentence and the person or entity that is accepting something.,"The argument 'friend' has the properties of being the direct object of the predicate 'accept', indicating that the subject of the sentence is accepting the friend.",The argument 'friend' fits the ARG0 role for the predicate 'accept' because it is the subject of the sentence and the person or entity that is accepting the friend.
accept,friend,ARG1,The ARG1 role for the predicate 'accept' should have the properties of being the person or entity that is accepting something.,The argument 'friend' has the property of being a person or entity that is being accepted.,The argument 'friend' fits the ARG1 role for the predicate 'accept' because it is the person or entity that is being accepted.
accept,neighbor,ARG0,The ARG0 role for the predicate 'accept' should have the properties of being the subject of the sentence and the person or entity that is accepting something.,The argument 'neighbor' has the properties of being a person or entity that is being accepted by the subject of the sentence.,The argument 'neighbor' fits the ARG0 role for the predicate 'accept' because it is the person or entity that is being accepted by the subject of the sentence.
accept,neighbor,ARG1,The ARG1 role for the predicate 'accept' should have the properties of being the person or entity that is accepting something.,The argument 'neighbor' has the property of being a person or entity that is being accepted.,The argument 'neighbor' fits the ARG1 role for the predicate 'accept' because it is the person or entity that is being accepted.
