predicate,argument,role_type,actual_fit,exp_fit
advise,banker,ARG0,"6.0
",0.75
advise,banker,ARG1,"5.0
",0.75
advise,biologist,ARG0,"4.2
",0.75
advise,biologist,ARG1,"5.0
",0.75
advise,business,ARG0,"5.3
",0.25
advise,business,ARG1,"5.8
",0.25
advise,client,ARG0,"3.7
",0.75
advise,client,ARG1,"6.6
",0.75
advise,customer,ARG0,"3.8
",0.75
advise,customer,ARG1,"6.0
",0.75
advise,designer-gardener,ARG0,"5.8
",0.75
advise,designer-gardener,ARG1,"3.8
",0.75
advise,doctor,ARG0,"6.8
",0.75
advise,doctor,ARG1,"4.0
",0.75
advise,expert,ARG0,"6.5
",0.75
advise,expert,ARG1,"3.8
",0.75
advise,hospital,ARG0,"6.0
",0.25
advise,hospital,ARG1,"4.0
",0.25
advise,investor,ARG0,"6.0
",0.75
advise,investor,ARG1,"6.3
",0.75
advise,official,ARG0,"6.2
",0.75
advise,official,ARG1,"5.9
",0.75
advise,planner,ARG0,"6.3
",0.75
advise,planner,ARG1,"3.9
",0.75
ask,charity,ARG0,"5.9
",0.25
ask,charity,ARG2,"5.2
",0.25
ask,congress,ARG0,"5.8
",0.5
ask,congress,ARG2,"6.0
",0.75
ask,court,ARG0,"6.0
",0.25
ask,court,ARG2,"5.8
",0.25
ask,department,ARG0,"4.0
",0.25
ask,department,ARG2,"5.2
",0.25
ask,doctor,ARG0,"6.5
",0.75
ask,doctor,ARG2,"6.7
",0.75
ask,firm,ARG0,"5.3
",0.25
ask,firm,ARG2,"5.1
",0.25
ask,official,ARG0,"6.1
",0.75
ask,official,ARG2,"6.6
",0.75
ask,police,ARG0,"6.5
",0.75
ask,police,ARG2,"6.2
",0.75
ask,prosecutor,ARG0,"6.6
",0.75
ask,prosecutor,ARG2,"6.3
",0.75
ask,state,ARG0,"3.8
",0.25
ask,state,ARG2,"3.8
",0.25
ask,union,ARG0,"6.0
",0.25
ask,union,ARG2,"5.3
",0.25
caution,bank,ARG0,"4.2
",0.0
caution,bank,ARG2,"2.3
",0.0
caution,developer,ARG0,"3.8
",0.5
caution,developer,ARG2,"5.0
",0.5
caution,friend,ARG0,"5.6
",0.75
caution,friend,ARG2,"5.0
",0.75
caution,judges,ARG0,"5.4
",0.5
caution,judges,ARG2,"3.7
",0.25
caution,lady,ARG0,"5.0
",0.25
caution,lady,ARG2,"5.0
",0.25
caution,leader,ARG0,"5.9
",0.75
caution,leader,ARG2,"5.0
",0.5
caution,police,ARG0,"6.6
",0.75
caution,police,ARG2,"2.2
",0.5
caution,professional,ARG0,"5.0
",0.25
caution,professional,ARG2,"5.1
",0.25
caution,rain,ARG0,"1.2
",0.0
caution,rain,ARG2,"1.3
",0.25
caution,trader,ARG0,"3.2
",0.5
caution,trader,ARG2,"5.1
",0.5
caution,user,ARG0,"3.8
",0.75
caution,user,ARG2,"5.4
",0.75
caution,woman,ARG0,"5.7
",0.25
caution,woman,ARG2,"5.7
",0.25
confuse,baby,ARG0,"3.7
",0.25
confuse,baby,ARG1,"6.0
",0.5
confuse,boatman,ARG0,"2.1
",0.25
confuse,boatman,ARG1,"3.2
",0.25
confuse,comment,ARG0,"5.8
",0.25
confuse,comment,ARG1,"1.5
",0.75
confuse,community,ARG0,"3.5
",0.25
confuse,community,ARG1,"4.9
",0.5
confuse,computer,ARG0,"5.4
",0.0
confuse,computer,ARG1,"4.1
",0.25
confuse,condition,ARG0,"4.6
",0.25
confuse,condition,ARG1,"2.5
",0.25
confuse,equipment,ARG0,"4.9
",0.0
confuse,equipment,ARG1,"1.4
",0.0
confuse,insistence,ARG0,"4.2
",0.25
confuse,insistence,ARG1,"1.4
",0.25
confuse,sense,ARG0,"4.0
",0.25
confuse,sense,ARG1,"3.8
",0.5
confuse,shareholder,ARG0,"3.3
",0.5
confuse,shareholder,ARG1,"5.0
",0.5
confuse,situation,ARG0,"6.0
",0.25
confuse,situation,ARG1,"5.1
",0.75
confuse,statement,ARG0,"6.0
",0.25
confuse,statement,ARG1,"2.5
",0.75
eat,apple,ARG0,"1.0
",0.0
eat,apple,ARG1,"6.5
",0.75
eat,cost,ARG0,"1.0
",0.0
eat,cost,ARG1,"1.8
",0.0
