predicate,argument,role_type,actual_fit,exp_fit
abandon,baby,ARG0,3,0.25
abandon,baby,ARG1,2.8,0.75
abandon,cat,ARG0,4.6,0.25
abandon,cat,ARG1,4.8,0.75
abandon,child,ARG0,4.6,0.25
abandon,child,ARG1,3.1,0.75
abandon,kidnapper,ARG0,3.9,0.25
abandon,kidnapper,ARG1,1.5,0.25
accept,award,ARG0,1.1,0.25
accept,award,ARG1,6.6,0.25
accept,friend,ARG0,6.1,0.25
accept,friend,ARG1,5.8,0.25
accept,neighbor,ARG0,5.4,0.25
accept,neighbor,ARG1,4.4,0.25
accept,student,ARG0,5.9,0.25
accept,student,ARG1,5.3,0.5
accept,teenager,ARG0,5.5,0.5
accept,teenager,ARG1,4.1,0.5
accuse,criminal,ARG0,3.4,0.25
accuse,criminal,ARG1,6.9,0.25
accuse,defendant,ARG0,3.6,0.75
accuse,defendant,ARG1,6.8,0.75
accuse,dog,ARG0,1.3,0.25
accuse,dog,ARG1,3.5,0.25
accuse,prosecutor,ARG0,6.8,0.75
accuse,prosecutor,ARG1,2.6,0.75
accuse,suspect,ARG0,3.3,0.5
accuse,suspect,ARG1,6.8,0.75
accuse,witness,ARG0,6.4,0.5
accuse,witness,ARG1,3.2,0.25
admire,actress,ARG0,4.6,0.25
admire,actress,ARG1,6.4,0.75
admire,athlete,ARG0,4.8,0.75
admire,athlete,ARG1,6.4,0.75
admire,disciple,ARG0,5.6,0.75
admire,disciple,ARG1,4.1,0.75
admire,fan,ARG0,6.8,0.75
admire,fan,ARG1,1.7,0.75
admire,groupie,ARG0,6.9,0.5
admire,groupie,ARG1,1.9,0.75
adopt,baby,ARG0,1.4,0.25
adopt,baby,ARG1,6.4,0.75
adopt,child,ARG0,2,0.25
adopt,child,ARG1,6.2,1.0
adopt,committee,ARG0,5.5,0.25
adopt,committee,ARG1,3.3,0.25
adopt,couple,ARG0,5.9,0.75
adopt,couple,ARG1,1.6,0.75
adopt,policy,ARG0,2.1,0.25
adopt,policy,ARG1,6,0.75
applaud,actress,ARG0,2.9,0.25
applaud,actress,ARG1,6.5,0.75
applaud,critic,ARG0,5,0.75
applaud,critic,ARG1,1.5,0.5
applaud,director,ARG0,4.8,0.25
applaud,director,ARG1,4.5,0.75
applaud,musician,ARG0,2.9,0.25
applaud,musician,ARG1,6.8,0.75
applaud,performance,ARG0,1.2,0.0
applaud,performance,ARG1,6.7,0.75
approve,candidate,ARG0,4,0.5
approve,candidate,ARG1,4.8,0.75
approve,committee,ARG0,6.2,0.75
approve,committee,ARG1,3.8,0.75
approve,contractor,ARG0,5.7,0.25
approve,contractor,ARG1,3.6,0.25
approve,plan,ARG0,1.8,0.25
approve,plan,ARG1,5.3,0.75
approve,policy,ARG0,2.3,0.25
approve,policy,ARG1,5.2,0.75
arrest,cop,ARG0,6.7,0.75
arrest,cop,ARG1,1.6,0.75
arrest,corporal,ARG0,5,0.5
arrest,corporal,ARG1,1.5,0.25
arrest,crook,ARG0,1.2,0.75
arrest,crook,ARG1,5.9,0.75
arrest,guard,ARG0,5,0.5
arrest,guard,ARG1,1.6,0.25
arrest,police,ARG0,6.4,1.0
arrest,police,ARG1,1.5,0.75
arrest,suspect,ARG0,1.4,0.75
arrest,suspect,ARG1,5.5,0.75
assist,employee,ARG0,6,0.75
assist,employee,ARG1,5.3,0.75
assist,grandmother,ARG0,6,0.75
assist,grandmother,ARG1,6.1,0.5
assist,host,ARG0,6.1,0.5
assist,host,ARG1,3.4,0.5
assist,moron,ARG0,1.7,0.25
assist,moron,ARG1,3.4,0.25
attack,boxer,ARG0,6.4,0.75
attack,boxer,ARG1,6.1,0.75
attack,fort,ARG0,1.6,0.25
attack,fort,ARG1,6,0.75
attack,infantry,ARG0,5.6,0.75
attack,infantry,ARG1,5.7,0.75
attack,opinion,ARG0,3.2,0.25
attack,opinion,ARG1,6.5,0.25
attack,pacifist,ARG0,1.9,0.25
attack,pacifist,ARG1,3.4,0.25
attack,troops,ARG0,6.6,0.75
attack,troops,ARG1,6.2,0.75
audit,accountant,ARG0,6,0.75
audit,accountant,ARG1,4,0.75
audit,businessman,ARG0,3.8,0.25
audit,businessman,ARG1,6,0.25
audit,citizen,ARG0,2.2,0.25
audit,citizen,ARG1,5.5,0.25
audit,corporation,ARG0,4.8,0.25
audit,corporation,ARG1,6.1,0.75
audit,government,ARG0,6.2,0.5
audit,government,ARG1,3,0.75
audit,taxpayer,ARG0,2.7,0.75
audit,taxpayer,ARG1,6.2,0.75
