predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.75
serve,restaurant,7,0.75
serve,hospital,5.1,0.75
sweep,living room,2.3,0.75
sweep,bathroom,4.8,0.75
sweep,restaurant,6.1,0.75
sweep,kitchen,6.8,0.75
sweep,barn,4.6,0.75
sweep,theatre,4.7,0.75
act,stage,6.9,0.75
act,school,5.1,0.75
act,work,2.9,0.25
act,theater,6.9,0.75
act,party,4.1,0.75
act,gymnasium,3.7,0.75
act,playground,2.9,0.75
examine,hospital,6.9,0.75
examine,office,4.7,0.75
examine,laboratory,6.8,0.75
examine,school,5.2,0.75
examine,court,5.9,0.75
examine,bank,3.8,0.75
gamble,bar,4.3,0.75
gamble,racetrack,6.8,0.75
gamble,casino,7,0.75
gamble,hotel,3.5,0.75
gamble,party,3.5,0.75
gamble,mall,2,0.75
gamble,airport,1.8,0.75
gamble,arena,3.8,0.75
drive,highway,7,0.75
drive,racetrack,6.2,0.75
drive,rink,2.8,0.75
drive,sidewalk,2.1,0.75
drive,ditch,1.7,0.75
drive,field,3.7,0.75
hunt,forest,6.9,0.75
hunt,lake,4.3,0.75
hunt,backyard,2.2,0.75
hunt,ocean,3.2,0.75
hunt,swamp,3.5,0.75
hunt,meadow,4.1,0.75
hunt,garden,2,0.75
browse,store,6.9,0.75
browse,classroom,2.5,0.75
browse,library,6.2,0.75
browse,gallery,6.8,0.75
browse,museum,6.6,0.75
browse,bar,3.2,0.75
bury,sandbox,6.3,0.75
bury,concrete,2.9,0.75
bury,ground,6.1,0.75
bury,cemetery,7,0.75
bury,dump,4.8,0.75
bury,subway,1.4,0.75
mingle,party,6.9,0.75
mingle,mall,4.3,0.75
mingle,office,4,0.75
mingle,bar,6.7,0.75
mingle,graduation,6.2,0.75
mingle,wedding,6.4,0.75
marry,house,4.4,0.75
marry,church,7,0.75
marry,island,3.7,0.75
marry,backyard,4.8,0.75
marry,prison,1.4,0.75
marry,brewery,1,0.75
applaud,classroom,4.3,0.75
applaud,concert,6.9,0.75
applaud,restaurant,2,0.75
applaud,playground,2,0.75
applaud,theater,6.9,0.75
applaud,arena,6.3,0.75
applaud,stadium,6.7,0.75
applaud,convention,5.5,0.75
beg,school,3.8,0.75
beg,street,5.6,0.75
beg,prison,4.6,0.75
beg,court,5.3,0.75
beg,sidewalk,4.4,0.75
beg,church,2.9,0.75
beg,casino,3.5,0.75
testify,office,2.5,0.75
testify,courtroom,7,0.75
testify,police station,5.8,0.75
testify,classroom,2.5,0.75
testify,planetarium,1.4,0.75
testify,store,1.4,0.75
testify,jail,3.3,0.75
wait,hospital,6.3,0.75
wait,restaurant,6.2,0.75
wait,office,5,0.75
wait,school,3.5,0.75
wait,lineup,7,0.75
wait,bedroom,1.6,0.75
swim,bathtub,2.3,0.75
swim,lake,6.7,0.75
swim,pool,7,0.75
swim,puddle,1.2,0.75
swim,ocean,6.6,0.75
swim,beach,6.2,0.75
swim,desert,1,0.0
swim,swamp,1.5,0.75
swim,creek,2.9,0.75
pray,temple,6.8,0.75
pray,church,7,0.75
pray,casino,4.2,0.25
pray,school,4.1,0.25
pray,cemetery,6,0.75
pray,kitchen,2.2,0.75
pray,theatre,1.5,0.25
confess,church,6.9,0.75
confess,school,4.2,0.75
confess,court,6,0.75
confess,office,3,0.75
confess,studio,1.7,0.75
confess,hearing,5.3,0.25
confess,jail,3.8,0.75
sleep,bathtub,2.2,0.75
sleep,tent,5.9,0.75
sleep,bedroom,7,0.75
sleep,hotel,6.3,0.75
sleep,chair,4.6,0.75
sleep,car,4.1,0.0
sleep,trailer,5.6,0.75
sleep,concert,1.5,0.25
wash,lake,4,0.75
wash,bathroom,7,0.75
wash,laundromat,4.9,0.75
wash,puddle,1.2,0.75
wash,pool,2.5,0.75
wash,factory,2.5,0.75
wash,hospital,5.6,0.0
run,house,2.8,0.75
run,track,6.9,0.75
run,treadmill,6.8,0.75
run,gymnasium,6.4,0.75
run,sidewalk,5.5,0.75
run,road,5.2,0.75
run,restaurant,1.3,0.75
fish,ocean,6.4,0.75
fish,lake,6.8,0.75
fish,pool,1.1,0.75
fish,puddle,1,0.75
fish,pond,5,0.75
fish,river,6.2,0.75
fish,swamp,2.5,0.75
weigh,supermarket,6.7,0.75
weigh,bathroom,6.4,0.75
weigh,gymnasium,5.7,0.75
weigh,hospital,5.5,0.75
weigh,restaurant,3.6,0.25
weigh,sauna,2.5,0.75
weigh,bar,1.6,0.75
weigh,classroom,2.6,0.75
weigh,delicatessen,6.3,0.75
rescue,lake,5.9,0.75
rescue,tree,4.8,0.75
rescue,house,4.9,0.75
rescue,park,3.9,0.75
rescue,cave,3.8,0.75
rescue,mine,4.4,0.75
rescue,ocean,4.8,0.75
rescue,battlefield,6,0.75
rescue,prison,2.8,0.75
exercise,car,1.4,0.0
exercise,gymnasium,7,0.75
exercise,house,5.1,0.75
exercise,school,4.9,0.75
exercise,track,6.9,0.75
exercise,stadium,4.4,0.75
exercise,campground,3.5,0.75
study,mall,1.6,0.75
study,library,6.9,0.75
study,bank,1.5,0.75
study,gymnasium,2.1,0.75
study,car,2.5,0.0
study,office,4.4,0.75
study,bedroom,5.8,0.75
study,dormitory,5.7,0.75
study,classroom,6.2,0.75
escape,hospital,3.4,0.75
escape,prison,4.3,0.75
escape,school,3.5,0.75
escape,resort,2.7,0.75
escape,gymnasium,2.3,0.75
escape,campground,2.5,0.75
deposit,library,4.7,0.75
deposit,bank,7,0.75
deposit,hospital,3.4,0.75
deposit,store,3.2,0.75
deposit,instabank,6.2,0.75
deposit,hotel,4.2,0.75
deposit,kitchen,2.3,0.75
mourn,party,1.6,0.75
mourn,funeral,7,0.75
mourn,wedding,2.2,0.75
mourn,bank,1.8,0.75
mourn,cemetery,6.8,0.75
mourn,temple,5.6,0.75
mourn,theatre,2,0.75
worship,theater,1.6,0.75
worship,chapel,6.7,0.75
worship,school,2.9,0.25
