predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
abandon,baby,ARG0,The mother abandoned the baby in the park.,1.0,The father abandoned the baby at the hospital.,1.0,The grandmother abandoned the baby in the forest.,1.0,The teacher abandoned the baby in the classroom.,0.8,The doctor abandoned the baby in the hospital.,0.8,3,0.92
abandon,baby,ARG1,The mother abandoned the baby in the park.,1.0,The father abandoned the baby at the hospital.,1.0,The caregiver abandoned the baby in the car.,0.8,The stranger abandoned the baby on the street.,0.8,The government abandoned the baby in the orphanage.,0.8,2.8,0.88
abandon,cat,ARG0,The cat abandoned the mouse hole.,1.0,The cat abandoned the toy.,1.0,The cat abandoned the game.,1.0,The cat abandoned the book.,1.0,The cat abandoned the ball.,1.0,4.6,1.0
abandon,cat,ARG1,The cat abandoned the mouse hole.,1.0,The cat abandoned the toy box.,1.0,The cat abandoned the sleeping bag.,0.8,The cat abandoned the food bowl.,1.0,The cat abandoned the litter box.,1.0,4.8,0.96
abandon,child,ARG0,The mother abandoned the child at the orphanage.,1.0,The father abandoned the child in the forest.,1.0,The government abandoned the child in the refugee camp.,0.8,The teacher abandoned the child in the classroom.,1.0,The doctor abandoned the child in the hospital.,1.0,4.6,0.96
abandon,child,ARG1,The mother abandoned the child at the orphanage.,1.0,The father abandoned the child in the forest.,1.0,The government abandoned the child in the refugee camp.,0.8,The teacher abandoned the child in the classroom.,1.0,The doctor abandoned the child in the hospital.,1.0,3.1,0.96
abandon,kidnapper,ARG0,The kidnapper abandoned the child.,0.8,The child was abandoned by the kidnapper.,0.5,The kidnapper left the child behind.,0.5,The child was left behind by the kidnapper.,0.5,The kidnapper fled with the child.,0.5,3.9,0.56
abandon,kidnapper,ARG1,The kidnapper abandoned the child.,0.8,The child was abandoned by the kidnapper.,0.5,The kidnapper left the child behind.,0.5,The child was left behind by the kidnapper.,0.8,The kidnapper fled with the child.,0.8,1.5,0.68
accept,award,ARG0,The judge accepted the award for the best play.,1.0,,0.8,,0.8,,0.8,,0.8,1.1,0.84
accept,award,ARG1,The judge accepted the award for the best play.,1.0,,0.8,,0.8,,0.8,,0.8,6.6,0.84
accept,friend,ARG0,I accepted my friend's invitation to the party.,0.8,,0.8,,0.8,,0.8,,0.8,6.1,0.8
accept,friend,ARG1,I accepted my friend's invitation to the party.,0.8,,0.8,,0.8,,0.8,,0.8,5.8,0.8
accept,neighbor,ARG0,The neighbor accepted the invitation to dinner.,0.8,The neighbor accepted the offer of help.,1.0,The neighbor accepted the gift with gratitude.,0.8,The neighbor accepted the apology with a smile.,0.8,The neighbor accepted the invitation to the party with excitement.,0.8,5.4,0.84
accept,neighbor,ARG1,The neighbor accepted the invitation to dinner.,0.8,The neighbor accepted the offer of help.,0.8,The neighbor accepted the gift with gratitude.,0.8,The neighbor accepted the apology with a smile.,0.8,The neighbor accepted the invitation to the party with excitement.,0.8,4.4,0.8
accept,student,ARG0,The student accepted the offer.,1.0,The student accepted the invitation.,1.0,The student accepted the assignment.,1.0,The student accepted the challenge.,1.0,The student accepted the responsibility.,1.0,5.9,1.0
accept,student,ARG1,The teacher accepted the student's paper.,0.8,The student accepted the teacher's offer.,1.0,,0.8,,0.8,,0.8,5.3,0.84
