predicate,argument,role_type,reasons 1,reasons 2,reasons 3
serve,library,Instrument,"For the predicate 'serve', the Instrument role should have properties indicating the means or tool used to perform the action of serving. This could include physical objects, mechanisms, or systems utilized to deliver a service or fulfill a need.","The argument 'library' has properties relevant to being a place or institution that serves the community or individuals by providing access to a wide range of information, resources, and services, including books, digital media, and educational programs.","The argument 'library' does not conventionally fit the Instrument role for the predicate 'serve' because it is typically not used as a tool or means to perform an action. Instead, a library is more commonly associated with the roles of Agent (as the entity providing services) or Location (where services are provided)."
serve,restaurant,Instrument,"For the predicate 'serve', the Instrument role should have properties indicating the means or tool used to perform the action of serving. This could include physical objects, mechanisms, or systems utilized to provide or deliver a service or necessity to someone or something.","The argument 'restaurant' has properties relevant to being a location or establishment where food and drinks are prepared and served to customers. It implies a setting where the action of serving takes place, often involving multiple agents (such as waitstaff) and instruments (such as plates, utensils) to serve the customers.","The argument 'restaurant' does not typically fit the Instrument role for the predicate 'serve' because it is primarily a location or establishment rather than a means or tool used to perform the action of serving. The Instrument role is more suitably filled by objects or mechanisms directly used in the serving process, such as utensils or serving trays."
serve,hospital,Instrument,"The Instrument role for the predicate 'serve' should have properties indicating the means or tool used to perform the action of serving. This could include physical objects used to serve food or drinks, such as a tray, spoon, or pitcher, or more abstract tools like a software or system used to serve information or services to users.","The argument 'hospital' has properties relevant to the context of providing medical care, treatment, and services to patients. It is a facility where medical professionals and staff work to serve the health needs of the community, offering a wide range of healthcare services including emergency care, surgeries, and various forms of treatment and rehabilitation.","The argument 'hospital' does not conventionally fit the Instrument role for the predicate 'serve' because it is not a tool or means by which the action of serving is directly performed. Instead, a hospital is more accurately described as a setting or agent in the context of serving healthcare services. The Instrument role is typically reserved for objects or means directly used to perform the action, such as medical equipment or technology within the hospital."
sweep,living room,Instrument,"For the predicate 'sweep', the Instrument role should have properties indicating that it is an object or tool capable of being used to clean or clear a surface by brushing away dirt, dust, or debris. It should be something that can be physically manipulated to perform the sweeping action, such as a broom, brush, or vacuum cleaner.","The argument 'living room' has properties indicating that it is a space or area within a dwelling, typically used for general, everyday activities such as sitting, reading, watching television, and entertaining guests. It is a location that can accumulate dirt, dust, or debris on surfaces like floors, requiring cleaning through actions such as sweeping.","The argument 'living room' does not fit the Instrument role for the predicate 'sweep' because it is a location, not an object or tool that can be used to perform the action of sweeping."
sweep,bathroom,Instrument,"For the predicate 'sweep', the Instrument role should have properties indicating that it is an object or tool capable of being used to clean or clear a surface by brushing away dirt, dust, or debris. It should be something that can be physically manipulated to perform the sweeping action, such as a broom, brush, or vacuum cleaner.","The argument 'bathroom' has properties indicating that it is a location or area that can be cleaned or cleared of dirt, dust, or debris through the action of sweeping. It is a physical space that can accumulate such materials on its surfaces, making it relevant for the sweeping action.","The argument 'bathroom' does not fit the Instrument role for the predicate 'sweep' because it is a location, not an object or tool used to perform the action of sweeping."
sweep,restaurant,Instrument,"The Instrument role for the predicate 'sweep' should have properties indicating that it is an object used to carry out the action of sweeping. This typically includes being able to physically move or collect dust, dirt, or debris over a surface. Common instruments for this action include brooms, brushes, or even vacuum cleaners. The instrument should be capable of direct interaction with the surface being cleaned and effectively gather or remove unwanted materials.","The argument 'restaurant' for the predicate 'sweep' has properties indicating it is a location or setting where the action of sweeping takes place. It suggests an environment that may accumulate dirt, food particles, or debris, necessitating regular cleaning to maintain hygiene and appearance. The restaurant as an argument implies a space with floors that can be swept, likely consisting of dining areas, kitchens, and possibly outdoor spaces.","The argument 'restaurant' does not fit the Instrument role for the predicate 'sweep' because it does not describe an object used to perform the action of sweeping. Instead, it describes a location where the action takes place, making it more suitable for a Location role rather than an Instrument role."
sweep,kitchen,Instrument,"The Instrument role for the predicate 'sweep' should have properties indicating that it is an object used to clean or clear a surface or area, typically by brushing away dirt or debris. It should be capable of being manipulated or handled by an agent (e.g., a person) to perform the sweeping action. Common examples include brooms, brushes, or even mechanical devices designed for sweeping.","The argument 'kitchen' has properties indicating that it is a specific location or area within a structure, typically associated with food preparation and cooking. It is a space that can accumulate dirt or debris, necessitating cleaning through actions such as sweeping.","The argument 'kitchen' does not fit the Instrument role for the predicate 'sweep' because it describes a location or area to be cleaned, not an object used to perform the cleaning action."
sweep,barn,Instrument,"The Instrument role for the predicate 'sweep' should have properties indicating that it is an object used to carry out the action of sweeping. This typically includes being able to physically move or collect dust, dirt, or debris over a surface. Common instruments for this action include brooms, brushes, or even vacuum cleaners. The instrument should be capable of making direct contact with the surface being cleaned and effectively gathering or displacing unwanted materials.","The argument 'barn' has properties indicating it is a location or space where the action of sweeping can take place. It suggests a physical area that may accumulate dust, dirt, or debris, requiring cleaning. The barn, as a setting for the action, implies a possibly large, enclosed area often associated with agricultural or storage purposes, which can gather various types of waste material on its floor that needs to be swept.","The argument 'barn' does not fit the Instrument role for the predicate 'sweep' because it does not have properties of an object used to carry out the action of sweeping. Instead, 'barn' fits better as a Location where the action of sweeping takes place, not the means by which the action is performed."
sweep,theatre,Instrument,"The Instrument role for the predicate 'sweep' should have properties indicating that it is an object used to clean or clear a surface or area, typically by brushing away dirt or debris. It should be capable of being manipulated or handled by an agent (e.g., a person) to perform the sweeping action. Common examples include brooms, brushes, or even modern devices like vacuum cleaners when used in a sweeping motion.","The argument 'theatre' has properties indicating that it is a location or venue where performances are held. It is a space that can accumulate dirt or debris and thus may require cleaning through sweeping. The theatre can have various surfaces such as floors, seats, and aisles that might be swept to maintain cleanliness.","The argument 'theatre' does not fit the Instrument role for the predicate 'sweep' because it does not have properties of an object used to perform the action of sweeping. Instead, it is a location that might be swept, making it more suitable for roles such as Location or Patient, depending on the context."
act,stage,Instrument,"For the predicate 'act', the Instrument role should have properties indicating the means or tool used to perform the action. This could include physical objects, techniques, or methods employed by the agent to accomplish or carry out the act.","The argument 'stage' has properties indicating a physical or metaphorical platform or setting where the action takes place. It suggests a specific location or environment designed for performances or events, implying an area where actions are observed or performed.","The argument 'stage' does not typically fit the Instrument role for the predicate 'act' because it describes a location or setting rather than a means or tool used to perform the action. The Instrument role is more aligned with objects or methods directly utilized by an agent to accomplish an action, whereas 'stage' aligns more closely with a Location role, indicating where the action takes place."
