predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,plate,,0.25,,0.25,The server served the plate of fries to the customer with a side of ketchup.,0.75,,0.25,,0.25,5.9,0.35
serve,tray,The waiter served the tray of drinks on the table.,0.75,The waiter used the tray to carry the drinks to the table.,0.75,The waiter placed the tray of drinks on the table.,0.75,The waiter served the tray of drinks to the customer.,0.75,The waiter used the tray to hold the drinks while the customer was served.,0.75,6.5,0.75
serve,glass,The waiter served the glass of water with a smile.,0.75,The bartender served the drink with a flourish.,0.75,,0.25,,0.25,,0.25,4.9,0.45
serve,platter,,0.25,,0.25,,0.25,,0.25,,0.25,5.8,0.25
serve,bucket,The bucket served as a container for the water.,0.75,The bucket served as a tool for pouring the water.,0.75,The bucket served as a vessel for the water.,0.75,The bucket served as a receptacle for the water.,0.75,"The bucket served as a container for the water, and it was used to pour the water into the sink.",0.75,1.4,0.75
sweep,mop,The mop swept the floor with ease.,0.75,The sweep of the mop was soothing to the carpet.,0.75,The mop swept up the crumbs with a satisfying swish.,0.75,The sweep of the mop was a relief after a messy day.,0.75,The mop swept away the dirt with a quick motion.,0.75,3.7,0.75
sweep,rag,The maid swept the floor with a rag.,0.75,The janitor swept the sidewalk with a broom.,0.75,The gardener swept the leaves with a rake.,0.75,The chef swept the kitchen with a duster.,0.75,The teacher swept the classroom with a mop.,0.75,3.1,0.75
sweep,broom,The broom swept the floor.,0.75,The sweep of the broom cleaned the floor.,0.75,The broom swept the floor with ease.,0.75,The sweep of the broom was quick and efficient.,0.75,The broom swept the floor with a gentle touch.,0.75,7,0.75
sweep,rake,The sweep of the rake across the floor was soothing.,0.75,The rake swept up the leaves with ease.,0.75,The sweep of the rake was a gentle caress.,0.75,The rake swept away the dirt with a satisfying swish.,0.75,The sweep of the rake was a soothing balm for the soul.,0.75,3,0.75
sweep,brush,The sweep of the brush across the floor was soothing.,0.75,The brush swept up the dirt and dust with ease.,0.75,The brush was swept clean by the broom.,0.75,The sweep of the brush across the floor was soothing.,0.75,The brush swept up the dirt and dust with ease.,0.75,3.7,0.75
sweep,rock,The broom swept the floor with ease.,1.0,The sweep of the broom was so smooth.,1.0,The rock was swept away by the broom.,0.75,The broom swept the rock clean.,0.75,The sweep of the broom was so powerful.,1.0,1,0.9
write,pen,I wrote the letter with a pen.,0.75,She wrote the report with a pen.,0.75,He wrote the book with a pen.,0.75,They wrote the article with a pen.,0.75,We wrote the story with a pen.,0.75,6.9,0.75
write,keyboard,I wrote the letter on the keyboard.,0.75,The keyboard was used to write the essay.,0.75,The keyboard was the instrument used to write the poem.,0.75,The keyboard was the tool used to write the story.,0.75,The keyboard was the device used to write the email.,0.75,4.8,0.75
write,thesaurus,,0.25,,0.25,,0.25,,0.25,,0.25,3.8,0.25
write,stick,The pen writes on the paper.,1.0,The pencil writes on the notebook.,0.75,The marker writes on the board.,0.75,The crayon writes on the canvas.,0.75,The ink writes on the paper.,1.0,1.8,0.85
write,pencil,The pencil wrote the letter.,0.75,,0.75,,0.75,,0.75,,0.75,6.8,0.75
write,desk,,0.0,,0.0,,0.0,,0.0,,0.0,4.9,0.0
write,wire,The wire was used to write the letter.,0.75,,0.75,,0.75,,0.75,,0.75,1,0.75
write,sword,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0
write,box,I wrote the letter in the box with a pen.,0.75,The box was used as an instrument to write the letter.,0.75,The letter was written in the box using a pen as an instrument.,0.75,The pen was used as an instrument to write the letter in the box.,0.25,The letter was written in the box with a pen as an instrument.,0.75,1,0.65
paint,brush,The artist used a paintbrush to paint the canvas.,0.75,The painter used a paintbrush to apply paint to the canvas.,0.75,The artist used a paintbrush to mix paint with water.,0.75,The painter used a paintbrush to clean the brush.,0.75,The artist used a paintbrush to create a painting.,0.75,6.8,0.75
paint,roller,The painter used a roller to paint the canvas.,0.75,The roller was used by the painter to paint the canvas.,0.75,The roller was used to paint the canvas by the painter.,0.75,The painter painted the canvas with a roller.,0.75,The roller was used to paint the canvas.,0.75,6.6,0.75
paint,straw,,0.25,The painter used straw as a paintbrush to paint the picture.,0.25,,0.25,The painter used straw to add color to the canvas.,0.25,The artist used straw to create a vibrant painting.,0.25,1.4,0.25
paint,paint,The artist used a paintbrush to paint the canvas.,0.75,The painter used a paintbrush to apply paint to the canvas.,0.75,The artist used a paintbrush to mix paint with water.,0.75,,0.75,The artist used a paintbrush to create a painting.,0.75,7,0.75
paint,can,The can of paint can be used to paint the wall.,0.75,The paint can is used to paint the wall.,0.75,The paint can is used to paint the ceiling.,0.75,The paint can is used to paint the furniture.,0.75,The paint can is used to paint the floor.,0.75,5.2,0.75
paint,sponge,The sponge was used to paint the wall.,0.75,The sponge was used to paint the ceiling.,0.75,The sponge was used to paint the furniture.,0.75,The sponge was used to paint the car.,0.75,The sponge was used to paint the house.,0.75,4.5,0.75
paint,rag,The artist used a rag to paint the canvas.,0.75,The painter used a rag to clean the brushes.,0.75,,0.75,,0.75,The artist used a rag to dry the paintbrushes.,0.75,3.9,0.75
shoot,gun,I shot the gun.,0.75,He shot the gun with a high velocity.,0.75,She shot the gun with a low velocity.,0.75,They shot the gun with a medium velocity.,0.75,We shot the gun with a high velocity.,0.75,6.8,0.75
shoot,straw,The straw shoot was too long and kept getting in the way.,0.75,The straw shoot was too short and didn't provide enough suction.,0.75,The straw shoot was too thick and made it difficult to blow.,0.75,The straw shoot was too thin and didn't provide enough airflow.,0.75,The straw shoot was too bent and kept falling out of the way.,0.75,1.5,0.75
shoot,rifle,I shot the deer with my rifle.,0.75,He shot the intruder with his rifle.,0.75,She shot the target with her rifle.,0.75,They shot the enemy with their rifles.,0.75,We shot the aliens with our rifles.,0.75,6.8,0.75
shoot,cannon,The cannon shot the target.,0.75,The cannon fired a bullet at the target.,0.75,The cannon blasted the target with a bullet.,0.75,The cannon hit the target with a bullet.,0.75,The cannon fired a bullet at the target and hit it.,1.0,4.5,0.8
shoot,pistol,I shot the pistol with my hand.,0.75,The pistol was shot by the police.,0.75,The pistol was shot by the criminal.,0.75,The pistol was shot by the assassin.,0.75,The pistol was shot by the marksman.,0.75,6.5,0.75
shoot,tank,The tank shot the enemy.,0.75,The enemy was shot by the tank.,0.75,The tank fired at the enemy.,0.75,The enemy was fired upon by the tank.,0.75,The tank hit the enemy.,0.75,4,0.75
shoot,arrow,The hunter shot the deer with an arrow.,1.0,The archer shot the target with a bow and arrow.,1.0,,0.75,,0.75,The hunter shot the deer with a crossbow and bolt.,0.75,5,0.85
dust,Kleenex,Kleenex dusts the table.,0.75,The dusting of the table with Kleenex is complete.,0.75,Kleenex is used to dust the table.,0.75,The table is dusted with Kleenex.,0.75,Kleenex is used to dust the table thoroughly.,0.75,3.5,0.75
dust,rag,The rag dusted the furniture.,0.75,The rag was used to dust the furniture.,0.75,The rag was used to clean the furniture.,0.75,,0.75,The rag was used to wipe down the furniture.,0.75,6.8,0.75
dust,sock,The dust in the sock made it difficult to walk.,0.75,"The sock was covered in dust, making it uncomfortable to wear.",0.75,The dust in the sock was a sign of poor cleaning.,0.75,"The sock was a mess, with dust all over it.",0.75,"The dust in the sock was a problem, as it made it difficult to see what was inside.",0.75,3.2,0.75
dust,cloth,The cloth was dusted with a soft cloth.,0.75,The cloth was dusted with a gentle touch.,0.75,The cloth was dusted with a soft brush.,0.75,The cloth was dusted with a soft cloth and a gentle touch.,0.75,The cloth was dusted with a soft brush and a gentle touch.,0.75,6.2,0.75
dust,water,The dust in the water made it difficult to see.,0.75,"The water was covered in dust, making it hard to swim.",0.75,,0.75,,0.75,,0.75,2.9,0.75
dust,beer,,0.0,,0.0,,0.0,,0.0,,0.0,1.1,0.0
cut,knife,The knife cut the cake.,0.75,The knife cut the rope.,0.75,The knife cut the meat.,0.75,The knife cut the vegetables.,0.75,The knife cut the fruit.,0.75,6.6,0.75
cut,paper,The knife cut the paper.,0.75,The scissors cut the paper.,0.75,The paper cut the knife.,0.75,The paper cut the scissors.,0.75,,0.75,3,0.75
cut,fork,,0.75,The chef used a fork to cut the meat.,0.75,,0.75,,0.75,,0.75,2.5,0.75
cut,saw,The saw cut the wood.,0.75,The wood was cut by the saw.,0.75,The saw was used to cut the wood.,0.75,The wood was cut with the saw.,0.75,The saw was used to cut the wood with precision.,0.75,5.9,0.75
cut,scissors,The scissors cut the paper.,0.75,The paper was cut by the scissors.,0.75,The scissors cut the paper into smaller pieces.,0.75,The paper was cut into smaller pieces by the scissors.,0.75,The scissors cut the paper into a neat square.,1.0,7,0.8
cut,teeth,I cut my teeth on a piece of cheese.,0.75,,0.75,,0.75,,0.75,The razor cut my beard into a neat trim.,0.75,3.7,0.75
cut,razor,The razor cut the apple in half.,1.0,The razor cut the cake with ease.,0.75,The razor cut the rope with a single stroke.,0.75,The razor cut the fabric with precision.,0.75,The razor cut the hair with a sharp blade.,0.75,4.6,0.8
eat,fork,I used a fork to eat my salad.,0.75,The waiter used a fork to serve me my dinner.,0.75,The chef used a fork to stir the pot.,0.25,The chef used a fork to scoop up the soup.,0.75,,0.75,6.7,0.65
eat,toothpick,I used a toothpick to eat my soup.,0.75,,0.75,,0.75,,0.75,,0.75,2.1,0.75
eat,knife,I used a knife to eat the pizza.,0.75,The knife was used to eat the pizza.,1.0,The pizza was eaten with a knife.,0.75,,0.75,,0.75,6.3,0.8
eat,pliers,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0
eat,spoon,I eat the spoon with my hands.,0.75,,0.75,,0.75,,0.75,I eat the soup with the spoon.,0.75,6.3,0.75
eat,cup,,0.75,,0.75,,0.75,,0.75,,0.75,3.3,0.75
eat,napkin,I used a napkin to eat my soup.,0.25,,0.75,,0.75,,0.75,,0.75,3.8,0.65
draw,pen,I drew a picture with my pen.,0.75,The artist drew a portrait with a pen.,0.75,The pen was used to draw a map.,0.75,The pen was used to draw a picture.,0.75,The pen was used to draw a line.,0.75,5.6,0.75
draw,marker,The marker drew a line on the paper.,0.75,The marker was used to draw a line on the paper.,0.75,The line was drawn with the marker.,0.75,The marker was used to draw a line.,0.75,The line was drawn with the marker on the paper.,0.75,5.8,0.75
draw,paper,I drew a picture on the paper with a pencil.,0.75,,0.75,,0.75,,0.75,The artist drew a detailed map of the city on the paper.,0.75,6.3,0.75
draw,stapler,I drew a picture with a stapler.,0.25,,0.75,The stapler helped me draw a picture.,0.75,I used a stapler to draw a picture.,0.25,The stapler was used to draw a picture.,0.75,1.2,0.55
draw,glue,,0.25,,0.25,,0.25,,0.25,,0.25,1.2,0.25
draw,crayon,I drew a picture with a crayon.,0.75,The crayon was used to draw the picture.,0.75,The crayon was the instrument used to draw the picture.,0.75,The crayon was the tool used to create the picture.,0.75,The crayon was the implement used to produce the picture.,0.75,5.7,0.75
draw,pencil,I drew a picture with a pencil.,0.75,The pencil drew a line on the paper.,0.75,The pencil was used to draw a picture.,0.75,The pencil was used to draw a line on the paper.,0.75,The pencil was used to draw a shape on the paper.,0.75,6.8,0.75
hunt,rocks,The hunter used the rocks to hunt the prey.,0.75,The rocks helped the hunter to hunt the prey.,0.75,The prey was hunted by the hunter using the rocks.,0.75,The rocks assisted the hunter in hunting the prey.,0.75,The hunter used the rocks to track the prey.,0.75,1.5,0.75
hunt,rifle,The hunter used a rifle to hunt the deer.,0.75,The hunter used a rifle to hunt the rabbit.,0.75,The hunter used a rifle to hunt the squirrel.,0.75,The hunter used a rifle to hunt the bird.,0.75,The hunter used a rifle to hunt the fish.,0.75,6.7,0.75
hunt,harpoon,The harpoon hunted the whale.,0.75,The whale hunted the harpoon.,0.75,The harpoon hunted the seal.,0.75,The seal hunted the harpoon.,0.75,The harpoon hunted the fish.,0.75,5.2,0.75
hunt,net,The hunter used a net to hunt the fish.,0.75,The fisherman used a net to hunt the fish.,0.75,The angler used a net to hunt the fish.,0.75,The fish hunter used a net to hunt the fish.,0.75,The fisherman used a net to catch the fish.,0.75,5.2,0.75
hunt,box,The hunter used a box to hunt the prey.,0.75,The box was used by the hunter to hunt the prey.,0.75,The prey was hunted by the hunter using a box.,0.75,The hunter hunted the prey using a box.,0.75,The box was used to hunt the prey by the hunter.,0.75,2.1,0.75
hunt,gun,The hunter used a gun to hunt the deer.,0.75,The hunter used a gun to hunt the rabbit.,0.75,The hunter used a gun to hunt the fox.,0.75,The hunter used a gun to hunt the bear.,0.75,The hunter used a gun to hunt the wild boar.,0.75,6.7,0.75
hunt,missile,The hunter used a missile to hunt the deer.,0.75,The missile was used by the hunter to hunt the deer.,0.75,The deer was hunted by the hunter using a missile.,0.75,The hunter hunted the deer using a missile.,0.75,The missile was used to hunt the deer by the hunter.,0.75,1.4,0.75
measure,protractor,The protractor measures the angle of the triangle.,0.75,The protractor measures the length of the line.,0.75,,0.75,,0.75,The protractor measures the height of the building.,0.75,5.1,0.75
measure,string,The string was measured with a ruler.,0.75,,0.25,The string was measured with a measuring tape.,0.75,,0.25,The string was measured with a measuring stick.,0.75,2.8,0.55
measure,scale,The scale measures the weight of the object.,1.0,The scale measures the length of the object.,1.0,The scale measures the height of the object.,1.0,The scale measures the volume of the object.,0.75,The scale measures the temperature of the object.,0.75,5.8,0.9
measure,ruler,The ruler was used to measure the length of the table.,0.75,The ruler was used to measure the width of the room.,0.75,The ruler was used to measure the height of the bookshelf.,0.75,The ruler was used to measure the distance between the two points.,0.75,The ruler was used to measure the angle between the two lines.,0.75,6.8,0.75
measure,balance,The balance of the scale measures the weight of the objects.,0.75,The balance of the scale measures the distance between the two objects.,0.75,The balance of the scale measures the angle between the two objects.,0.75,The balance of the scale measures the tilt of the objects.,0.75,The balance of the scale measures the inclination of the objects.,0.75,5.2,0.75
