predicate,argument,role_type,actual_fit,exp_fit
abandon,baby,ARG0,"3
",0.5
abandon,baby,ARG1,"2.8
",0.8
abandon,cat,ARG0,"4.6
",0.5
abandon,cat,ARG1,"4.8
",0.5
abandon,child,ARG0,"4.6
",0.8
abandon,child,ARG1,"3.1
",0.8
abandon,kidnapper,ARG0,"3.9
",0.8
abandon,kidnapper,ARG1,"1.5
",0.8
accept,award,ARG0,"1.1
",0.8
accept,award,ARG1,"6.6
",0.8
accept,friend,ARG0,"6.1
",0.8
accept,friend,ARG1,"5.8
",0.8
accept,neighbor,ARG0,"5.4
",0.5
accept,neighbor,ARG1,"4.4
",0.8
accept,student,ARG0,"5.9
",0.8
accept,student,ARG1,"5.3
",0.8
accept,teenager,ARG0,"5.5
",0.5
accept,teenager,ARG1,"4.1
",0.5
accuse,criminal,ARG0,"3.4
",1.0
accuse,criminal,ARG1,"6.9
",1.0
accuse,defendant,ARG0,"3.6
",1.0
accuse,defendant,ARG1,"6.8
",1.0
accuse,dog,ARG0,"1.3
",0.5
accuse,dog,ARG1,"3.5
",0.5
accuse,prosecutor,ARG0,"6.8
",0.8
accuse,prosecutor,ARG1,"2.6
",0.8
accuse,suspect,ARG0,"3.3
",1.0
accuse,suspect,ARG1,"6.8
",1.0
accuse,witness,ARG0,"6.4
",0.5
accuse,witness,ARG1,"3.2
",0.5
admire,actress,ARG0,"4.6
",0.8
admire,actress,ARG1,"6.4
",0.8
admire,athlete,ARG0,"4.8
",0.8
admire,athlete,ARG1,"6.4
",0.8
admire,disciple,ARG0,"5.6
",0.5
admire,disciple,ARG1,"4.1
",0.5
admire,fan,ARG0,"6.8
",0.5
admire,fan,ARG1,"1.7
",0.8
admire,groupie,ARG0,"6.9
",0.5
admire,groupie,ARG1,"1.9
",0.5
adopt,baby,ARG0,"1.4
",1.0
adopt,baby,ARG1,"6.4
",0.8
adopt,child,ARG0,"2
",1.0
adopt,child,ARG1,"6.2
",1.0
adopt,committee,ARG0,"5.5
",0.8
adopt,committee,ARG1,"3.3
",0.8
adopt,couple,ARG0,"5.9
",0.5
adopt,couple,ARG1,"1.6
",0.7
adopt,policy,ARG0,"2.1
",0.8
adopt,policy,ARG1,"6
",0.8
applaud,actress,ARG0,"2.9
",0.8
applaud,actress,ARG1,"6.5
",0.8
applaud,critic,ARG0,"5
",0.8
applaud,critic,ARG1,"1.5
",0.8
applaud,director,ARG0,"4.8
",0.8
applaud,director,ARG1,"4.5
",0.8
applaud,musician,ARG0,"2.9
",0.8
applaud,musician,ARG1,"6.8
",0.8
applaud,performance,ARG0,"1.2
",1.0
applaud,performance,ARG1,"6.7
",1.0
approve,candidate,ARG0,"4
",0.8
approve,candidate,ARG1,"4.8
",0.8
approve,committee,ARG0,"6.2
",0.8
approve,committee,ARG1,"3.8
",0.8
approve,contractor,ARG0,"5.7
",0.8
approve,contractor,ARG1,"3.6
",0.8
approve,plan,ARG0,"1.8
",0.5
approve,plan,ARG1,"5.3
",0.8
approve,policy,ARG0,"2.3
",0.8
approve,policy,ARG1,"5.2
",0.8
arrest,cop,ARG0,"6.7
",0.5
arrest,cop,ARG1,"1.6
",0.8
arrest,corporal,ARG0,"5
",0.5
arrest,corporal,ARG1,"1.5
",0.5
arrest,crook,ARG0,"1.2
",0.8
arrest,crook,ARG1,"5.9
",0.8
arrest,guard,ARG0,"5
",0.8
arrest,guard,ARG1,"1.6
",0.8
arrest,police,ARG0,"6.4
",1.0
arrest,police,ARG1,"1.5
",0.8
arrest,suspect,ARG0,"1.4
",1.0
arrest,suspect,ARG1,"5.5
",1.0
assist,employee,ARG0,"6
",0.8
assist,employee,ARG1,"5.3
",0.8
