predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.2
serve,restaurant,7,0.2
serve,hospital,5.1,0.2
sweep,living room,2.3,0.0
sweep,bathroom,4.8,0.0
sweep,restaurant,6.1,0.0
sweep,kitchen,6.8,0.0
sweep,barn,4.6,0.0
sweep,theatre,4.7,0.0
act,stage,6.9,0.2
act,school,5.1,0.1
act,work,2.9,0.2
act,theater,6.9,0.1
act,party,4.1,0.1
act,gymnasium,3.7,0.1
act,playground,2.9,0.1
examine,hospital,6.9,0.2
examine,office,4.7,0.1
examine,laboratory,6.8,0.3
examine,school,5.2,0.1
examine,court,5.9,0.1
examine,bank,3.8,0.1
gamble,bar,4.3,0.3
gamble,racetrack,6.8,0.3
gamble,casino,7,0.2
gamble,hotel,3.5,0.5
gamble,party,3.5,0.1
gamble,mall,2,0.2
gamble,airport,1.8,0.2
gamble,arena,3.8,0.1
drive,highway,7,0.1
drive,racetrack,6.2,0.1
drive,rink,2.8,0.0
drive,sidewalk,2.1,0.0
drive,ditch,1.7,0.0
drive,field,3.7,0.1
hunt,forest,6.9,0.1
hunt,lake,4.3,0.1
hunt,backyard,2.2,0.0
hunt,ocean,3.2,0.1
hunt,swamp,3.5,0.1
hunt,meadow,4.1,0.1
hunt,garden,2,0.0
browse,store,6.9,0.2
browse,classroom,2.5,0.1
browse,library,6.2,0.1
browse,gallery,6.8,0.1
browse,museum,6.6,0.1
browse,bar,3.2,0.2
bury,sandbox,6.3,0.1
bury,concrete,2.9,0.1
bury,ground,6.1,0.1
bury,cemetery,7,0.1
bury,dump,4.8,0.0
bury,subway,1.4,0.1
mingle,party,6.9,0.9
mingle,mall,4.3,0.3
mingle,office,4,0.6
mingle,bar,6.7,0.8
mingle,graduation,6.2,0.4
mingle,wedding,6.4,0.8
marry,house,4.4,0.0
marry,church,7,0.0
marry,island,3.7,0.0
marry,backyard,4.8,0.0
marry,prison,1.4,0.0
marry,brewery,1,0.0
applaud,classroom,4.3,0.1
applaud,concert,6.9,0.0
applaud,restaurant,2,0.1
applaud,playground,2,0.0
applaud,theater,6.9,0.1
applaud,arena,6.3,0.1
applaud,stadium,6.7,0.1
applaud,convention,5.5,0.0
beg,school,3.8,0.0
beg,street,5.6,0.0
beg,prison,4.6,0.0
beg,court,5.3,0.0
beg,sidewalk,4.4,0.0
beg,church,2.9,0.0
beg,casino,3.5,0.0
testify,office,2.5,0.1
testify,courtroom,7,0.2
testify,police station,5.8,0.1
testify,classroom,2.5,0.0
testify,planetarium,1.4,0.0
testify,store,1.4,0.4
testify,jail,3.3,0.0
wait,hospital,6.3,0.0
wait,restaurant,6.2,0.0
wait,office,5,0.0
wait,school,3.5,0.0
wait,lineup,7,0.0
wait,bedroom,1.6,0.0
swim,bathtub,2.3,0.0
swim,lake,6.7,0.0
swim,pool,7,0.0
swim,puddle,1.2,0.0
swim,ocean,6.6,0.0
swim,beach,6.2,0.0
swim,desert,1,0.0
swim,swamp,1.5,0.0
swim,creek,2.9,0.0
pray,temple,6.8,0.2
pray,church,7,0.7
pray,casino,4.2,0.1
pray,school,4.1,0.1
pray,cemetery,6,0.1
pray,kitchen,2.2,0.1
pray,theatre,1.5,0.1
confess,church,6.9,0.0
confess,school,4.2,0.0
confess,court,6,0.0
confess,office,3,0.1
confess,studio,1.7,0.2
confess,hearing,5.3,0.0
confess,jail,3.8,0.0
sleep,bathtub,2.2,0.0
sleep,tent,5.9,0.0
sleep,bedroom,7,0.0
sleep,hotel,6.3,0.0
sleep,chair,4.6,0.1
sleep,car,4.1,0.0
sleep,trailer,5.6,0.0
sleep,concert,1.5,0.0
wash,lake,4,0.5
wash,bathroom,7,0.1
wash,laundromat,4.9,0.5
wash,puddle,1.2,0.1
wash,pool,2.5,0.0
wash,factory,2.5,0.1
wash,hospital,5.6,0.0
run,house,2.8,0.0
run,track,6.9,0.5
run,treadmill,6.8,0.9
run,gymnasium,6.4,0.2
run,sidewalk,5.5,0.2
run,road,5.2,0.4
run,restaurant,1.3,0.0
fish,ocean,6.4,0.1
fish,lake,6.8,0.1
fish,pool,1.1,0.1
fish,puddle,1,0.1
fish,pond,5,0.1
fish,river,6.2,0.1
fish,swamp,2.5,0.1
weigh,supermarket,6.7,0.2
weigh,bathroom,6.4,0.2
weigh,gymnasium,5.7,0.0
weigh,hospital,5.5,0.1
weigh,restaurant,3.6,0.0
weigh,sauna,2.5,0.0
weigh,bar,1.6,0.1
weigh,classroom,2.6,0.0
weigh,delicatessen,6.3,0.0
rescue,lake,5.9,0.1
rescue,tree,4.8,0.6
rescue,house,4.9,0.1
rescue,park,3.9,0.1
rescue,cave,3.8,0.1
rescue,mine,4.4,0.1
rescue,ocean,4.8,0.1
rescue,battlefield,6,0.1
rescue,prison,2.8,0.1
exercise,car,1.4,0.1
exercise,gymnasium,7,0.4
exercise,house,5.1,0.2
exercise,school,4.9,0.2
exercise,track,6.9,0.8
exercise,stadium,4.4,0.8
exercise,campground,3.5,0.4
study,mall,1.6,0.2
study,library,6.9,0.2
study,bank,1.5,0.5
study,gymnasium,2.1,0.2
study,car,2.5,0.1
study,office,4.4,0.2
study,bedroom,5.8,0.1
study,dormitory,5.7,0.2
study,classroom,6.2,0.8
escape,hospital,3.4,0.1
escape,prison,4.3,0.1
escape,school,3.5,0.1
escape,resort,2.7,0.2
escape,gymnasium,2.3,0.1
escape,campground,2.5,0.1
deposit,library,4.7,0.1
deposit,bank,7,0.1
deposit,hospital,3.4,0.1
deposit,store,3.2,0.2
deposit,instabank,6.2,0.9
deposit,hotel,4.2,0.1
deposit,kitchen,2.3,0.1
mourn,party,1.6,0.0
mourn,funeral,7,0.0
mourn,wedding,2.2,0.0
mourn,bank,1.8,0.0
mourn,cemetery,6.8,0.0
mourn,temple,5.6,0.0
mourn,theatre,2,0.0
worship,theater,1.6,0.3
worship,chapel,6.7,0.8
worship,school,2.9,0.1
worship,bar,1.4,0.1
worship,temple,6.8,0.2
worship,cemetery,4.3,0.3
eat,restaurant,7,0.1
eat,kitchen,7,0.1
eat,pub,4.9,0.0
eat,delicatessen,5.3,0.1
eat,stadium,4.7,0.0
eat,lobby,2.6,0.0
eat,bedroom,3.5,0.0
shower,gymnasium,4.8,0.1
shower,bathroom,6.9,0.1
shower,pool,2.3,0.1
shower,field,1.2,0.1
shower,sauna,2.2,0.1
shower,cottage,4.3,0.1
cook,kitchen,7,0.5
cook,restaurant,6.8,0.2
cook,trailer,5,0.1
cook,mall,3.2,0.0
cook,campground,4.9,0.2
cook,cabin,5.2,0.0
cook,tent,2.2,0.0
sell,store,7,0.3
sell,street,5.4,0.2
sell,market,6.6,0.9
sell,mall,6.9,0.2
sell,arena,4.9,0.5
sell,driveway,2.5,0.1
sell,pub,6.2,0.1
sell,desert,1.1,0.1
preach,ghetto,2.5,0.1
preach,airport,2.3,0.1
preach,church,7,0.2
preach,synagogue,6.7,0.3
preach,street,3.2,0.1
preach,classroom,4.8,0.3
preach,courtroom,4.4,0.1
skate,backyard,3,0.1
skate,park,4.8,0.2
skate,pond,4.4,0.0
skate,rink,7,0.1
skate,arena,7,0.1
skate,lake,4.3,0.3
skate,schoolyard,2.3,0.0
stroll,countryside,6.4,0.0
stroll,park,6.8,0.0
stroll,forest,5.6,0.0
stroll,highway,1.3,0.0
stroll,field,4.3,0.0
stroll,riverbank,4.9,0.0
stroll,bathroom,1.1,0.0
dance,auditorium,5.3,0.1
dance,bar,5.8,0.2
dance,ballroom,7,0.7
dance,kitchen,2.6,0.0
dance,stage,5.4,0.5
dance,gymnasium,4.4,0.5
dance,shower,2.2,0.1
urinate,backyard,3.3,0.0
urinate,bathroom,7,0.0
urinate,mall,4.1,0.0
urinate,forest,4.3,0.0
urinate,field,3.5,0.0
urinate,lobby,1.4,0.0
urinate,bank,1.4,0.0
draw,classroom,6.2,0.1
draw,museum,4.1,0.1
draw,park,3.8,0.0
draw,beach,3.7,0.0
draw,studio,6.5,0.1
draw,cliff,2.6,0.0
draw,lake,2.8,0.0
