predicate,argument,actual_fit,exp_fit
serve,plate,5.9,0.75
serve,tray,6.5,0.75
serve,glass,4.9,0.75
serve,platter,5.8,0.75
serve,bucket,1.4,0.75
sweep,mop,3.7,0.75
sweep,rag,3.1,0.75
sweep,broom,7,0.75
sweep,rake,3,0.75
sweep,brush,3.7,0.75
sweep,rock,1,0.75
write,pen,6.9,0.75
write,keyboard,4.8,0.75
write,thesaurus,3.8,0.75
write,stick,1.8,0.75
write,pencil,6.8,0.75
write,desk,4.9,0.75
write,wire,1,0.75
write,sword,1,1.0
write,box,1,0.75
paint,brush,6.8,0.75
paint,roller,6.6,0.75
paint,straw,1.4,0.75
paint,paint,7,1.0
paint,can,5.2,0.75
paint,sponge,4.5,0.75
paint,rag,3.9,0.75
shoot,gun,6.8,0.75
shoot,straw,1.5,0.75
shoot,rifle,6.8,0.75
shoot,cannon,4.5,0.75
shoot,pistol,6.5,0.75
shoot,tank,4,0.75
shoot,arrow,5,0.75
dust,Kleenex,3.5,0.75
dust,rag,6.8,0.75
dust,sock,3.2,0.75
dust,cloth,6.2,0.75
dust,water,2.9,0.0
dust,beer,1.1,0.75
cut,knife,6.6,1.0
cut,paper,3,0.75
cut,fork,2.5,0.75
cut,saw,5.9,0.75
cut,scissors,7,1.0
cut,teeth,3.7,0.75
cut,razor,4.6,0.75
eat,fork,6.7,0.75
eat,toothpick,2.1,0.25
eat,knife,6.3,0.25
eat,pliers,1,0.0
eat,spoon,6.3,0.75
eat,cup,3.3,0.75
eat,napkin,3.8,0.25
draw,pen,5.6,0.75
draw,marker,5.8,0.75
draw,paper,6.3,0.75
draw,stapler,1.2,0.75
draw,glue,1.2,0.75
draw,crayon,5.7,0.75
draw,pencil,6.8,0.75
hunt,rocks,1.5,0.75
hunt,rifle,6.7,0.75
hunt,harpoon,5.2,0.75
hunt,net,5.2,0.75
hunt,box,2.1,0.75
hunt,gun,6.7,0.75
hunt,missile,1.4,0.75
measure,protractor,5.1,0.75
measure,string,2.8,0.75
measure,scale,5.8,0.75
measure,ruler,6.8,0.75
measure,balance,5.2,0.75
measure,stick,1.7,0.75
measure,pencil,3.2,0.75
cure,medicine,6.9,0.75
cure,herbs,5.4,0.75
cure,therapy,5.9,0.75
cure,kiss,3.3,0.0
cure,acupuncture,4,0.75
cure,food,3.9,0.0
cure,sauna,2,0.25
float,boat,6.4,0.75
float,raft,6.2,0.75
float,chair,1.5,0.75
float,wood,3.5,0.75
float,canoe,5.8,0.75
float,tube,5.3,0.75
float,air,4.7,0.75
hit,fist,6.8,0.75
hit,water,1.7,0.75
hit,bat,5.9,0.75
hit,pillow,3.8,0.75
hit,stick,3.8,0.75
hit,hammer,5.2,0.75
hit,apple,1.8,0.75
hit,towel,2.2,0.75
revive,slap,4.7,0.75
revive,water,4.8,0.75
revive,scream,4,0.75
revive,silence,1.1,0.75
revive,oxygen,6,0.75
revive,respirator,5.6,0.75
watch,telescope,5.3,0.75
watch,mirror,4.8,0.75
watch,binoculars,6.1,0.75
watch,kaleidoscope,2.7,0.75
watch,glasses,6.2,0.75
watch,light,5,0.75
watch,radar,3.8,0.75
dig,shovel,6.9,0.75
dig,fork,2.5,0.75
dig,spoon,3,0.75
dig,cup,1.9,0.75
dig,hoe,4.4,0.75
dig,pickaxe,4,0.75
dig,spade,5.6,0.75
stab,scissors,4,0.75
stab,fork,4.3,0.75
stab,toothpick,3,0.75
stab,knife,6.8,0.75
stab,dagger,5.9,0.75
stab,razor,2.5,0.75
stab,hatchet,3.2,0.75
stab,nail,2.2,0.75
repair,hammer,6.7,0.75
repair,shoe,1.5,0.75
repair,string,3,0.75
repair,elastic,2.7,0.75
repair,glue,5.6,0.75
repair,saw,4.4,0.75
repair,screwdriver,6.2,0.75
repair,wrench,5.8,0.75
repair,tape,5.8,0.75
