predicate,argument,role_type,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
abandon,baby,ARG0,The mother abandoned the baby in the park.,The father abandoned the baby at the hospital.,The grandmother abandoned the baby in the forest.,The teacher abandoned the baby in the classroom.,The doctor abandoned the baby in the hospital.
abandon,baby,ARG1,The mother abandoned the baby in the park.,The father abandoned the baby at the hospital.,The caregiver abandoned the baby in the car.,The stranger abandoned the baby on the street.,The government abandoned the baby in the orphanage.
abandon,cat,ARG0,The cat abandoned the mouse hole.,The cat abandoned the toy.,The cat abandoned the game.,The cat abandoned the book.,The cat abandoned the ball.
abandon,cat,ARG1,The cat abandoned the mouse hole.,The cat abandoned the toy box.,The cat abandoned the sleeping bag.,The cat abandoned the food bowl.,The cat abandoned the litter box.
abandon,child,ARG0,The mother abandoned the child at the orphanage.,The father abandoned the child in the forest.,The government abandoned the child in the refugee camp.,The teacher abandoned the child in the classroom.,The doctor abandoned the child in the hospital.
abandon,child,ARG1,The mother abandoned the child at the orphanage.,The father abandoned the child in the forest.,The government abandoned the child in the refugee camp.,The teacher abandoned the child in the classroom.,The doctor abandoned the child in the hospital.
abandon,kidnapper,ARG0,The kidnapper abandoned the child.,The child was abandoned by the kidnapper.,The kidnapper left the child behind.,The child was left behind by the kidnapper.,The kidnapper fled with the child.
abandon,kidnapper,ARG1,The kidnapper abandoned the child.,The child was abandoned by the kidnapper.,The kidnapper left the child behind.,The child was left behind by the kidnapper.,The kidnapper fled with the child.
accept,award,ARG0,The judge accepted the award for the best play.,The company accepted the offer from the investor.,The athlete accepted the challenge.,The politician accepted the invitation to speak at the conference.,The teacher accepted the student's request for extra help.
accept,award,ARG1,The judge accepted the award for the best play.,The company accepted the offer from the investor.,The athlete accepted the challenge.,The politician accepted the responsibility for the mistake.,The teacher accepted the student's apology.
accept,friend,ARG0,I accepted my friend's invitation to the party.,The teacher accepted the student's assignment.,The company accepted the offer from the investor.,The athlete accepted the challenge from the rival.,The politician accepted the congratulations from the public.
accept,friend,ARG1,I accepted my friend's invitation to the party.,She accepted the job offer from the company.,He accepted the gift from his colleague.,They accepted the proposal from the client.,The team accepted the challenge from the opposing team.
accept,neighbor,ARG0,The neighbor accepted the invitation to dinner.,The neighbor accepted the offer of help.,The neighbor accepted the gift with gratitude.,The neighbor accepted the apology with a smile.,The neighbor accepted the invitation to the party with excitement.
accept,neighbor,ARG1,The neighbor accepted the invitation to dinner.,The neighbor accepted the offer of help.,The neighbor accepted the gift with gratitude.,The neighbor accepted the apology with a smile.,The neighbor accepted the invitation to the party with excitement.
accept,student,ARG0,The student accepted the offer.,The student accepted the invitation.,The student accepted the assignment.,The student accepted the challenge.,The student accepted the responsibility.
accept,student,ARG1,The teacher accepted the student's paper.,The student accepted the teacher's offer.,The company accepted the employee's resignation.,The government accepted the refugee's request for asylum.,The team accepted the challenge and won the game.
accept,teenager,ARG0,The teenager accepted the invitation to the party.,The teenager accepted the offer to work at the restaurant.,The teenager accepted the challenge to play a game of basketball.,The teenager accepted the invitation to the concert.,The teenager accepted the offer to help with the project.
accept,teenager,ARG1,The teenager accepted the invitation to the party.,The teenager accepted the offer to work at the restaurant.,The teenager accepted the challenge to play a game of basketball.,The teenager accepted the invitation to the concert.,The teenager accepted the offer to help with the project.
accuse,criminal,ARG0,The police accused the criminal of the crime.,The criminal was accused of the crime by the police.,The crime was accused by the police of being committed by the criminal.,The criminal was accused of the crime by the victim.,The victim accused the criminal of the crime.
accuse,criminal,ARG1,The police accused the criminal of the crime.,The prosecutor accused the defendant of the crime.,The witness accused the suspect of the crime.,The victim accused the perpetrator of the crime.,The accuser accused the accused of the crime.
accuse,defendant,ARG0,The defendant accused the judge of bias.,The defendant accused the prosecutor of withholding evidence.,The defendant accused the witness of lying.,The defendant accused the police of planting evidence.,The defendant accused the judge of being unfair.
accuse,defendant,ARG1,The defendant accused the judge of bias.,The defendant accused the prosecutor of withholding evidence.,The defendant accused the witness of lying.,The defendant accused the police of planting evidence.,The defendant accused the judge of being unfair.
accuse,dog,ARG0,The dog accused the suspect of theft.,The suspect accused the dog of being a thief.,The dog accused the suspect of being a liar.,The suspect accused the dog of being a fraud.,The dog accused the suspect of being a criminal.
accuse,dog,ARG1,The dog accused the suspect of theft.,The suspect was accused of theft by the dog.,The dog accused the suspect of stealing the money.,The suspect was accused of stealing the money by the dog.,The dog accused the suspect of being a thief.
accuse,prosecutor,ARG0,The prosecutor accused the defendant of the crime.,The prosecutor accused the defendant of committing the crime.,The prosecutor accused the defendant of being guilty of the crime.,The prosecutor accused the defendant of having committed the crime.,The prosecutor accused the defendant of being responsible for the crime.
accuse,prosecutor,ARG1,The prosecutor accused the defendant of the crime.,The prosecutor accused the defendant of committing the crime.,The prosecutor accused the defendant of being the perpetrator of the crime.,The prosecutor accused the defendant of being the one who committed the crime.,The prosecutor accused the defendant of being the culprit of the crime.
accuse,suspect,ARG0,The suspect accused the police of planting evidence.,The police accused the suspect of theft.,The suspect accused the victim of lying.,The victim accused the suspect of assault.,The suspect accused the judge of bias.
accuse,suspect,ARG1,The suspect accused the police of planting evidence.,The police accused the suspect of theft.,The suspect accused the victim of lying.,The victim accused the suspect of assault.,The suspect accused the judge of bias.
accuse,witness,ARG0,The witness accused the suspect of the crime.,The suspect was accused by the witness.,"The witness accused the suspect of the crime, but the suspect denied it.","The suspect was accused by the witness, but the witness was not believed.","The witness accused the suspect of the crime, but the suspect was not present at the scene."
accuse,witness,ARG1,The witness accused the suspect of the crime.,The suspect was accused by the witness.,"The witness accused the suspect of the crime, but the suspect denied it.","The suspect was accused by the witness, but the witness was not believed.","The witness accused the suspect of the crime, but the suspect was not present at the scene."
admire,actress,ARG0,I admire the actress's talent.,The actress's performance was admired by the audience.,The actress's beauty is admired by many.,The actress's dedication to her craft is admired by her peers.,The actress's kindness and compassion are admired by everyone who knows her.
admire,actress,ARG1,I admire the actress's talent.,The actress's performance was admired by the audience.,The actress's beauty is admired by many.,The actress's dedication to her craft is admired by her peers.,The actress's impact on the film industry is admired by many.
admire,athlete,ARG0,I admire the athlete's dedication to their sport.,The athlete's talent is truly inspiring.,I admire the athlete's perseverance in the face of adversity.,The athlete's commitment to their training is admirable.,I admire the athlete's ability to push themselves to new heights.
admire,athlete,ARG1,I admire the athlete's dedication to their sport.,The athlete's talent is truly inspiring.,I admire the athlete's perseverance in the face of adversity.,The athlete's commitment to their training is admirable.,I admire the athlete's ability to push themselves to new heights.
admire,disciple,ARG0,I admire my disciple for their dedication to their craft.,My disciple is someone I admire for their intelligence and insight.,I admire my disciple for their ability to inspire others.,My disciple is someone I admire for their passion and drive.,I admire my disciple for their kindness and compassion.
admire,disciple,ARG1,I admire my disciple for their dedication to their craft.,The disciple admires their teacher for their wisdom and guidance.,The disciple admires the teacher's patience and understanding.,The disciple admires the teacher's passion for their work.,The disciple admires the teacher's ability to inspire and motivate others.
admire,fan,ARG0,I admire your passion for music.,I admire your dedication to your craft.,I admire your ability to inspire others.,I admire your commitment to excellence.,I admire your unwavering dedication to your art.
admire,fan,ARG1,I admire your passion for music.,I admire your dedication to your craft.,I admire your ability to inspire others.,I admire your commitment to your beliefs.,I admire your courage in standing up for what you believe in.
admire,groupie,ARG0,I admire the groupie for their dedication to the band.,The groupie admires the band for their music.,The band admires the groupie for their passion.,The groupie admires the band for their talent.,The band admires the groupie for their enthusiasm.
admire,groupie,ARG1,I admire the groupie for their dedication to the band.,The groupie admires the band for their music.,The band admires the groupie for their passion.,The groupie admires the band for their talent.,The band admires the groupie for their enthusiasm.
adopt,baby,ARG0,I adopted a baby girl.,The couple adopted a baby boy.,The family adopted a baby from a foreign country.,The orphanage adopted a baby from the streets.,The government adopted a baby from a foster home.
adopt,baby,ARG1,I adopted a baby girl.,The couple adopted a baby boy.,The family adopted a baby from a foreign country.,The orphanage adopted a baby from the streets.,The government adopted a baby from a foster home.
adopt,child,ARG0,The parents adopted a child.,The child was adopted by the parents.,The parents adopted a child from a foster home.,The child was adopted by the parents from a foster home.,The parents adopted a child from a foreign country.
adopt,child,ARG1,The parents adopted a child.,The child was adopted by the parents.,The parents adopted a child from a foster home.,The child was adopted by the parents from a foster home.,The parents adopted a child from a foreign country.
adopt,committee,ARG0,The committee adopted the new policy.,The committee adopted the new budget.,The committee adopted the new regulations.,The committee adopted the new procedures.,The committee adopted the new guidelines.
adopt,committee,ARG1,The committee adopted the new policy.,The committee adopted the new budget.,The committee adopted the new regulations.,The committee adopted the new procedures.,The committee adopted the new guidelines.
adopt,couple,ARG0,The couple adopted a child.,The couple adopted a pet.,The couple adopted a new home.,The couple adopted a new hobby.,The couple adopted a new career.
adopt,couple,ARG1,The couple adopted a child.,The couple adopted a pet.,The couple adopted a new home.,The couple adopted a new hobby.,The couple adopted a new career.
adopt,policy,ARG0,The government has adopted a new policy to reduce carbon emissions.,The company has adopted a new policy to improve employee morale.,The city has adopted a new policy to reduce crime rates.,The country has adopted a new policy to promote economic growth.,The organization has adopted a new policy to improve environmental sustainability.
adopt,policy,ARG1,The government has adopted a new policy to reduce carbon emissions.,The company has adopted a new policy to improve employee morale.,The city has adopted a new policy to reduce crime rates.,The country has adopted a new policy to promote economic growth.,The organization has adopted a new policy to improve environmental sustainability.
applaud,actress,ARG0,The audience applauded the actress for her performance.,The actress applauded the audience for their applause.,The audience applauded the actress for her dedication to her craft.,The actress applauded the audience for their support.,The audience applauded the actress for her talent.
applaud,actress,ARG1,The audience applauded the actress for her performance.,The actress applauded the audience for their enthusiastic applause.,The audience applauded the actress for her dedication to her craft.,The actress applauded the audience for their support and encouragement.,The audience applauded the actress for her talent and skill.
applaud,critic,ARG0,The critic applauded the play.,The audience applauded the actor's performance.,The audience applauded the director's direction.,The audience applauded the play's script.,The critic applauded the play's themes.
applaud,critic,ARG1,The critic applauded the play.,The audience applauded the actor's performance.,The audience applauded the director's direction.,The audience applauded the play's themes.,The audience applauded the play's message.
applaud,director,ARG0,The audience applauded the director's performance.,The director received a standing ovation from the audience.,The audience applauded the director's direction.,The director was applauded by the audience for his excellent work.,The audience applauded the director's dedication to the project.
applaud,director,ARG1,The audience applauded the director's performance.,The director received a standing ovation from the audience.,The audience applauded the director's direction.,The director was applauded by the audience for his excellent work.,The audience applauded the director's ability to bring the story to life.
applaud,musician,ARG0,The audience applauded the musician's performance.,The musician received a standing ovation from the audience.,The audience was impressed by the musician's skill.,The musician's music was well-received by the audience.,The audience appreciated the musician's dedication to their craft.
applaud,musician,ARG1,The audience applauded the musician's performance.,The musician received a standing ovation from the audience.,The audience was impressed by the musician's skill.,The musician's music was well-received by the audience.,The audience appreciated the musician's dedication to their craft.
