predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.25
serve,restaurant,7,0.75
serve,hospital,5.1,0.5
sweep,living room,2.3,1.0
sweep,bathroom,4.8,0.75
sweep,restaurant,6.1,0.75
sweep,kitchen,6.8,1.0
sweep,barn,4.6,0.75
sweep,theatre,4.7,0.75
act,stage,6.9,0.75
act,school,5.1,0.75
act,work,2.9,0.25
act,theater,6.9,0.75
act,party,4.1,0.25
act,gymnasium,3.7,0.25
act,playground,2.9,0.25
examine,hospital,6.9,0.5
examine,office,4.7,0.5
examine,laboratory,6.8,0.75
examine,school,5.2,0.5
examine,court,5.9,0.25
examine,bank,3.8,0.25
gamble,bar,4.3,0.5
gamble,racetrack,6.8,0.75
gamble,casino,7,1.0
gamble,hotel,3.5,0.75
gamble,party,3.5,0.5
gamble,mall,2,0.25
gamble,airport,1.8,0.25
gamble,arena,3.8,0.5
drive,highway,7,0.75
drive,racetrack,6.2,0.75
drive,rink,2.8,0.25
drive,sidewalk,2.1,0.25
drive,ditch,1.7,0.25
drive,field,3.7,0.5
hunt,forest,6.9,0.75
hunt,lake,4.3,0.25
hunt,backyard,2.2,0.5
hunt,ocean,3.2,0.25
hunt,swamp,3.5,0.75
hunt,meadow,4.1,0.5
hunt,garden,2,0.25
browse,store,6.9,0.75
browse,classroom,2.5,0.25
browse,library,6.2,1.0
browse,gallery,6.8,0.75
browse,museum,6.6,0.75
browse,bar,3.2,0.25
bury,sandbox,6.3,0.25
bury,concrete,2.9,0.25
bury,ground,6.1,1.0
bury,cemetery,7,1.0
bury,dump,4.8,0.25
bury,subway,1.4,0.25
mingle,party,6.9,1.0
mingle,mall,4.3,0.75
mingle,office,4,0.75
mingle,bar,6.7,0.75
mingle,graduation,6.2,0.75
mingle,wedding,6.4,0.75
marry,house,4.4,0.0
marry,church,7,0.75
marry,island,3.7,0.0
marry,backyard,4.8,0.75
marry,prison,1.4,0.25
marry,brewery,1,0.25
applaud,classroom,4.3,0.5
applaud,concert,6.9,0.5
applaud,restaurant,2,0.5
applaud,playground,2,0.25
applaud,theater,6.9,0.75
applaud,arena,6.3,0.75
applaud,stadium,6.7,0.75
applaud,convention,5.5,0.25
beg,school,3.8,0.25
beg,street,5.6,0.75
beg,prison,4.6,0.25
beg,court,5.3,0.25
beg,sidewalk,4.4,0.75
beg,church,2.9,0.5
beg,casino,3.5,0.25
testify,office,2.5,0.25
testify,courtroom,7,1.0
testify,police station,5.8,0.75
testify,classroom,2.5,0.25
testify,planetarium,1.4,0.25
testify,store,1.4,0.25
testify,jail,3.3,0.25
wait,hospital,6.3,0.75
wait,restaurant,6.2,0.75
wait,office,5,0.75
wait,school,3.5,0.75
wait,lineup,7,0.75
wait,bedroom,1.6,0.75
swim,bathtub,2.3,0.25
swim,lake,6.7,1.0
swim,pool,7,1.0
swim,puddle,1.2,0.25
swim,ocean,6.6,1.0
swim,beach,6.2,0.75
swim,desert,1,0.0
swim,swamp,1.5,0.75
swim,creek,2.9,0.75
pray,temple,6.8,0.75
pray,church,7,0.75
pray,casino,4.2,0.25
pray,school,4.1,0.5
pray,cemetery,6,0.5
pray,kitchen,2.2,0.25
pray,theatre,1.5,0.25
confess,church,6.9,0.5
confess,school,4.2,0.25
confess,court,6,0.5
confess,office,3,0.25
confess,studio,1.7,0.25
confess,hearing,5.3,0.25
confess,jail,3.8,0.25
sleep,bathtub,2.2,0.25
sleep,tent,5.9,0.75
sleep,bedroom,7,0.75
sleep,hotel,6.3,0.75
sleep,chair,4.6,0.5
sleep,car,4.1,0.25
sleep,trailer,5.6,0.25
sleep,concert,1.5,0.25
wash,lake,4,0.25
wash,bathroom,7,0.75
wash,laundromat,4.9,0.75
wash,puddle,1.2,0.25
wash,pool,2.5,0.25
wash,factory,2.5,0.25
wash,hospital,5.6,0.25
run,house,2.8,0.0
run,track,6.9,0.75
run,treadmill,6.8,0.75
run,gymnasium,6.4,0.75
run,sidewalk,5.5,0.75
run,road,5.2,0.75
run,restaurant,1.3,0.5
fish,ocean,6.4,0.75
fish,lake,6.8,0.75
fish,pool,1.1,0.5
fish,puddle,1,0.25
fish,pond,5,0.75
fish,river,6.2,0.75
fish,swamp,2.5,0.5
weigh,supermarket,6.7,0.25
weigh,bathroom,6.4,0.5
weigh,gymnasium,5.7,0.0
weigh,hospital,5.5,0.0
weigh,restaurant,3.6,0.0
weigh,sauna,2.5,0.0
weigh,bar,1.6,0.0
weigh,classroom,2.6,0.0
weigh,delicatessen,6.3,0.0
rescue,lake,5.9,0.75
rescue,tree,4.8,0.25
rescue,house,4.9,0.25
rescue,park,3.9,0.25
rescue,cave,3.8,0.75
rescue,mine,4.4,0.25
rescue,ocean,4.8,0.5
rescue,battlefield,6,0.75
rescue,prison,2.8,0.75
exercise,car,1.4,0.25
exercise,gymnasium,7,1.0
exercise,house,5.1,0.25
exercise,school,4.9,0.5
exercise,track,6.9,0.75
exercise,stadium,4.4,0.75
exercise,campground,3.5,0.25
study,mall,1.6,0.25
study,library,6.9,0.75
study,bank,1.5,0.25
study,gymnasium,2.1,0.25
study,car,2.5,0.25
study,office,4.4,0.75
study,bedroom,5.8,0.75
study,dormitory,5.7,0.75
study,classroom,6.2,0.75
escape,hospital,3.4,0.75
escape,prison,4.3,1.0
escape,school,3.5,0.75
escape,resort,2.7,0.25
escape,gymnasium,2.3,0.25
escape,campground,2.5,0.75
deposit,library,4.7,0.25
deposit,bank,7,1.0
deposit,hospital,3.4,0.0
deposit,store,3.2,0.75
deposit,instabank,6.2,0.75
deposit,hotel,4.2,0.25
deposit,kitchen,2.3,0.25
mourn,party,1.6,0.0
mourn,funeral,7,0.75
mourn,wedding,2.2,0.0
mourn,bank,1.8,0.0
mourn,cemetery,6.8,0.75
mourn,temple,5.6,0.25
mourn,theatre,2,0.25
worship,theater,1.6,0.25
worship,chapel,6.7,0.75
worship,school,2.9,0.25
worship,bar,1.4,0.25
worship,temple,6.8,0.75
worship,cemetery,4.3,0.25
eat,restaurant,7,0.75
eat,kitchen,7,0.75
eat,pub,4.9,0.75
eat,delicatessen,5.3,0.25
eat,stadium,4.7,0.25
eat,lobby,2.6,0.0
eat,bedroom,3.5,0.25
shower,gymnasium,4.8,0.75
shower,bathroom,6.9,1.0
shower,pool,2.3,0.25
shower,field,1.2,0.5
shower,sauna,2.2,0.25
shower,cottage,4.3,0.5
cook,kitchen,7,1.0
cook,restaurant,6.8,0.75
cook,trailer,5,0.25
cook,mall,3.2,0.25
cook,campground,4.9,0.25
cook,cabin,5.2,0.25
cook,tent,2.2,0.25
sell,store,7,0.75
sell,street,5.4,0.25
sell,market,6.6,0.75
sell,mall,6.9,0.75
sell,arena,4.9,0.25
sell,driveway,2.5,0.0
sell,pub,6.2,0.25
sell,desert,1.1,0.25
preach,ghetto,2.5,0.75
preach,airport,2.3,0.5
preach,church,7,1.0
preach,synagogue,6.7,0.75
preach,street,3.2,0.75
preach,classroom,4.8,0.5
preach,courtroom,4.4,0.25
skate,backyard,3,0.25
skate,park,4.8,0.75
skate,pond,4.4,0.75
skate,rink,7,1.0
skate,arena,7,0.75
skate,lake,4.3,0.75
skate,schoolyard,2.3,0.75
stroll,countryside,6.4,0.75
stroll,park,6.8,1.0
stroll,forest,5.6,0.75
stroll,highway,1.3,0.25
stroll,field,4.3,0.75
stroll,riverbank,4.9,0.75
stroll,bathroom,1.1,0.25
dance,auditorium,5.3,0.75
dance,bar,5.8,0.75
dance,ballroom,7,0.75
dance,kitchen,2.6,0.75
dance,stage,5.4,0.75
dance,gymnasium,4.4,0.75
dance,shower,2.2,0.25
urinate,backyard,3.3,0.5
urinate,bathroom,7,1.0
urinate,mall,4.1,0.25
urinate,forest,4.3,0.5
urinate,field,3.5,0.75
urinate,lobby,1.4,0.25
urinate,bank,1.4,0.25
draw,classroom,6.2,0.0
draw,museum,4.1,0.25
draw,park,3.8,0.25
draw,beach,3.7,0.25
draw,studio,6.5,0.5
draw,cliff,2.6,0.25
draw,lake,2.8,0.25
