predicate,argument,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
serve,library,The library serves as a place for people to study and learn.,The library serves as a resource for researchers to access information.,The library serves as a community center for the local community.,The library serves as a place for people to relax and unwind.,The library serves as a hub for cultural events and activities.
serve,restaurant,The restaurant serves delicious food.,The restaurant serves a variety of cuisines.,The restaurant serves drinks.,The restaurant serves desserts.,The restaurant serves breakfast.
serve,hospital,The hospital serves as a place of healing for patients.,The hospital serves as a source of medical care for the community.,The hospital serves as a place of refuge for those in need.,The hospital serves as a place of learning for medical students.,The hospital serves as a place of research for medical professionals.
sweep,living room,The broom swept the living room.,The vacuum cleaner swept the living room.,The dustpan and brush swept the living room.,The broom swept the living room floor.,The vacuum cleaner swept the living room floor.
sweep,bathroom,I sweep the bathroom every day to keep it clean.,The maid sweeps the bathroom every week to keep it spotless.,The sweeper sweeps the bathroom every month to remove dirt and dust.,The janitor sweeps the bathroom every day to keep it tidy.,The sweeper sweeps the bathroom every week to remove all the dirt and dust.
sweep,restaurant,The sweep of the restaurant's exterior was impressive.,The restaurant's sweep of the dining area was clean and well-organized.,The sweep of the restaurant's parking lot was smooth and easy to navigate.,The restaurant's sweep of the kitchen was efficient and well-equipped.,The sweep of the restaurant's service was friendly and attentive.
sweep,kitchen,The broom swept the kitchen floor.,The dustpan swept up the crumbs.,The vacuum cleaner swept the carpet.,The mop swept the floor.,The sweeper swept the sidewalk.
sweep,barn,The sweep of the barn's roof was impressive.,The barn's sweep was a sight to behold.,The barn's sweep was a beautiful sight.,The sweep of the barn was a sight to behold.,The sweep of the barn was a beautiful sight.
sweep,theatre,The sweep of the theatre's stage was impressive.,The theatre's sweep was breathtaking.,The sweep of the theatre's auditorium was grand.,The theatre's sweep was majestic.,The sweep of the theatre's balcony was stunning.
act,stage,The actor performed on stage.,The actress acted on stage.,The actor acted on the stage.,The actress performed on the stage.,The actor performed on the stage.
act,school,The school acted as a place of learning.,The school acted as a place of education.,The school acted as a place of study.,The school acted as a place of research.,The school acted as a place of innovation.
act,work,The work is acting in the location.,The location is acting in the work.,The work is acting in the location.,The location is acting in the work.,The work is acting in the location.
act,theater,The theater acted in the play.,The play was acted in the theater.,The theater was the location of the act.,The act was performed in the theater.,The theater was the site of the act.
act,party,The party was held at the park.,The party was held in the backyard.,The party was held in the living room.,The party was held in the kitchen.,The party was held in the bedroom.
act,gymnasium,The gymnasium is where the students act out their sports.,The gymnasium is where the students act out their dance routines.,The gymnasium is where the students act out their plays.,The gymnasium is where the students act out their musical performances.,The gymnasium is where the students act out their theatrical performances.
act,playground,The children played on the playground.,The playground was a popular spot for the kids to play.,The playground was a great place for the children to run around.,The playground was a fun place for the kids to play hide and seek.,The playground was a place where the children could let off steam and have fun.
examine,hospital,The doctor examined the patient in the hospital.,The nurse examined the patient in the hospital.,The doctor examined the patient in the hospital's emergency room.,The doctor examined the patient in the hospital's intensive care unit.,The doctor examined the patient in the hospital's outpatient clinic.
examine,office,The police examined the office for clues.,The forensic team examined the office for fingerprints.,The detective examined the office for any signs of tampering.,The investigator examined the office for any evidence of fraud.,The scientist examined the office for any unusual chemicals or substances.
examine,laboratory,The researcher examined the laboratory to ensure that it was clean and well-equipped.,The scientist examined the laboratory to identify any potential hazards.,The technician examined the laboratory to ensure that all equipment was functioning properly.,The engineer examined the laboratory to identify any areas for improvement.,The quality control specialist examined the laboratory to ensure that all procedures were followed correctly.
examine,school,The teacher examined the school's curriculum to ensure it was comprehensive and up-to-date.,The principal examined the school's facilities to ensure they were safe and well-maintained.,The school's administration examined the school's budget to ensure it was balanced and sustainable.,The school's staff examined the school's policies to ensure they were fair and equitable.,The school's students examined the school's resources to ensure they were accessible and useful.
examine,court,The court examined the evidence presented in the trial.,The court examined the witnesses in the trial.,The court examined the legal precedents in the case.,The court examined the legal arguments in the case.,The court examined the legal implications of the ruling.
examine,bank,Examine the bank's financial statements to determine its financial health.,Examine the bank's policies to ensure they are fair and transparent.,Examine the bank's customer service to ensure it is responsive and helpful.,Examine the bank's technology to ensure it is up-to-date and secure.,Examine the bank's reputation to ensure it is trustworthy and reputable.
gamble,bar,I gambled on the bar to win the jackpot.,The bar gambled on me to win the game.,The bar was the location where I gambled to win the prize.,"I gambled on the bar to win the game, but I lost.","The bar gambled on me to win the game, but I lost."
gamble,racetrack,I gambled on the racetrack and lost my shirt.,The racetrack was the location where I gambled and won big.,I gambled on the racetrack and won a small fortune.,The racetrack was the location where I gambled and lost everything.,I gambled on the racetrack and won a small amount of money.
gamble,casino,I gambled at the casino last night.,The casino gambled on the outcome of the game.,"The casino gambled on the outcome of the game, but it lost.","The casino gambled on the outcome of the game, but it won.","The casino gambled on the outcome of the game, and it was a close call."
gamble,hotel,I gambled at the hotel last night.,The hotel gambled on the outcome of the game.,The hotel was the location of the gamble.,The gamble was held at the hotel.,The hotel was the site of the gamble.
gamble,party,The party gambled on the outcome of the election.,The party gambled on the stock market.,The party gambled on the lottery.,The party gambled on the outcome of the game.,The party gambled on the result of the race.
gamble,mall,I gambled at the mall last weekend.,The mall was a great place to gamble.,I gambled on the mall's food court.,The mall's food court was a great place to gamble.,I gambled on the mall's arcade games.
gamble,airport,I gambled at the airport.,The airport was a popular gamble spot.,The airport was a great place to gamble.,I gambled at the airport and won big.,The airport was a great place to gamble and I won big.
gamble,arena,The gambler gambled in the arena.,The gambler gambled in the casino.,The gambler gambled in the lottery.,The gambler gambled in the stock market.,The gambler gambled in the poker game.
drive,highway,I drove down the highway to get to the city.,The driver drove the car down the highway.,The car was driven down the highway by the driver.,The highway was driven down by the car.,The driver drove the car down the highway to get to the city.
drive,racetrack,The car drove down the racetrack.,The racetrack was driven by the car.,The car drove around the racetrack.,The racetrack was driven by the car at high speed.,The car drove on the racetrack for hours.
drive,rink,I drove to the rink to play hockey.,"The rink was located in a remote area, so I had to drive there.","The rink was a popular destination for hockey fans, so I had to drive there to see the game.",I drove to the rink to pick up my hockey gear.,"The rink was located in a different city, so I had to drive there to play."
drive,sidewalk,The driver drove the car onto the sidewalk.,The sidewalk was the location where the driver parked the car.,The driver drove the car onto the sidewalk and parked it there.,The sidewalk was the location where the driver parked the car after driving it there.,"The driver drove the car onto the sidewalk and parked it there, making sure to avoid any obstacles."
drive,ditch,The car drove down the ditch.,The car drove into the ditch.,The car drove out of the ditch.,The car drove over the ditch.,The car drove through the ditch.
