predicate,argument,role_type,reasons 1,reasons 2,reasons 3
serve,library,Location,"The Location role should have the properties of being a location, a place, or a position.","The argument 'library' has the properties of being a location, a place, or a position.","The argument 'library' fits the Location role for the predicate 'serve' because it is a location where something is served, such as a book or a meal."
serve,restaurant,Location,"The Location role should have the properties of being a location, a place, or a position.","The argument 'restaurant' has the properties of being a place, a location, and a destination.",The argument 'restaurant' fits the Location role for the predicate 'serve' because it is a place where food is served.
serve,hospital,Location,"The Location role should have the properties of being a location, a place, or a position.","The argument 'hospital' has the properties of being a location, a place, and a position.",The argument 'hospital' fits the Location role for the predicate 'serve' because it is a location where the action of serving is taking place.
sweep,living room,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.","The argument 'living room' has the properties of being a spatial location, a room, and a location within a building.",The argument 'living room' fits the Location role for the predicate 'sweep' because it is a spatial location where the action of sweeping can take place.
sweep,bathroom,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.","The argument 'bathroom' has the properties of being a location, a room, and a place where one can clean oneself.",The argument 'bathroom' fits the Location role for the predicate 'sweep' because it is a spatial location where the action of sweeping can take place.
sweep,restaurant,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.","The argument 'restaurant' has the properties of being a physical location, a place where food is prepared and served, and a business that provides a service to customers.",The argument 'restaurant' fits the Location role for the predicate 'sweep' because it is a physical location where the sweeping action takes place.
sweep,kitchen,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.","The argument 'kitchen' has the properties of being a spatial location, a room, and a location where food preparation and cleaning tasks are typically performed.",The argument 'kitchen' fits the Location role for the predicate 'sweep' because it is a spatial location where the action of sweeping is typically performed.
sweep,barn,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.",The argument 'barn' has the property of being a building or structure used for storing or housing animals or crops.,  The argument 'barn' fits the Location role for the predicate 'sweep' because it is a place where something can be swept or cleaned.
sweep,theatre,Location,"The Location role should have the properties of being a spatial location, such as a room, a building, or an area of land.","The argument 'theatre' has the property of being a location, which is relevant to the semantic role of 'Location' in the predicate 'sweep'.",The argument 'theatre' fits the Location role for the predicate 'sweep' because it is a location where something can be swept.
act,stage,Location,The Location role should have the properties of being a place or a location where the action takes place.,The argument 'stage' has the property of being a location where the action takes place.,The argument 'stage' fits the Location role for the predicate 'act' because it is a location where the action takes place.
act,school,Location,The Location role should have the properties of being a place or a location where the action takes place.,The argument 'school' has the property of being a location where the action takes place.,The argument 'school' fits the Location role for the predicate 'act' because it is a place where the action of 'acting' takes place.
act,work,Location,The Location role should have the properties of being a place or a location where the action takes place.,The argument 'work' has the property of being the object of the action described by the predicate 'act'.,"  The argument 'work' does not fit the Location role for the predicate 'act' because the Location role is typically used to describe a place or location where the action takes place, and 'work' is not a place or location."
act,theater,Location,The Location role should have the properties of being a place or a location where the action takes place.,"The argument 'theater' has the properties of being a location where the action takes place, and it is a specific type of location that is commonly used for theatrical performances.",The argument 'theater' fits the Location role for the predicate 'act' because it is a specific type of location where the action takes place.
act,party,Location,The Location role should have the properties of being a place or a location where the action takes place.,"The argument 'party' has the properties of being a location where the action takes place, and also a participant in the action.",The argument 'party' fits the Location role for the predicate 'act' because it is a location where the action takes place.
act,gymnasium,Location,The Location role should have the properties of being a place or a location where the action takes place.,The argument 'gymnasium' has the property of being a location where the action takes place.,The argument 'gymnasium' fits the Location role for the predicate 'act' because it is a place where the action of 'acting' takes place.
act,playground,Location,The Location role should have the properties of being a place or a location where the action takes place.,The argument 'playground' has the properties of being a location where the action takes place.,The argument 'playground' fits the Location role for the predicate 'act' because it is a place where the action of playing takes place.
examine,hospital,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,The argument 'hospital' has the property of being a location where the examination is taking place.,The argument 'hospital' fits the Location role for the predicate 'examine' because it is a place where the examination is taking place.
examine,office,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,"The argument 'office' has the properties of being a location, a place, and a physical entity.",The argument 'office' fits the Location role for the predicate 'examine' because it is a location where the examination is taking place.
examine,laboratory,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,The argument 'laboratory' has the property of being a location where the examination is taking place.,The argument 'laboratory' fits the Location role for the predicate 'examine' because it is a place where the examination is taking place.
examine,school,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,The argument 'school' has the property of being a location where the examination is taking place.,The argument 'school' fits the Location role for the predicate 'examine' because it is a place where the examination is taking place.
examine,court,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,The argument 'court' has the property of being a place where a legal proceeding takes place.,The argument 'court' fits the Location role for the predicate 'examine' because it is a place where a legal proceeding takes place.
examine,bank,Location,The Location role should have the properties of being a place or a location where the examination is taking place.,The argument 'bank' has the property of being a location where the examination is taking place.,The argument 'bank' fits the Location role for the predicate 'examine' because it is a place where the examination is taking place.
gamble,bar,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'bar' has the property of being a place where the gambling is taking place.,The argument 'bar' fits the Location role for the predicate 'gamble' because it is a place where the gambling is taking place.
gamble,racetrack,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'racetrack' has the property of being a physical location where gambling activities take place.,The argument 'racetrack' fits the Location role for the predicate 'gamble' because it is a physical location where gambling activities take place.
