predicate,argument,actual_fit,exp_fit
serve,plate,5.9,0.5
serve,tray,6.5,0.5
serve,glass,4.9,0.5
serve,platter,5.8,0.5
serve,bucket,1.4,0.5
sweep,mop,3.7,0.8
sweep,rag,3.1,0.8
sweep,broom,7,1.0
sweep,rake,3,0.8
sweep,brush,3.7,0.8
sweep,rock,1,0.5
write,pen,6.9,0.8
write,keyboard,4.8,0.8
write,thesaurus,3.8,0.5
write,stick,1.8,0.5
write,pencil,6.8,0.8
write,desk,4.9,0.5
write,wire,1,0.5
write,sword,1,0.5
write,box,1,0.5
paint,brush,6.8,0.8
paint,roller,6.6,0.8
paint,straw,1.4,0.5
paint,paint,7,1.0
paint,can,5.2,0.5
paint,sponge,4.5,0.8
paint,rag,3.9,0.8
shoot,gun,6.8,1.0
shoot,straw,1.5,0.5
shoot,rifle,6.8,1.0
shoot,cannon,4.5,0.8
shoot,pistol,6.5,1.0
shoot,tank,4,0.5
shoot,arrow,5,0.8
dust,Kleenex,3.5,0.5
dust,rag,6.8,0.5
dust,sock,3.2,0.5
dust,cloth,6.2,0.5
dust,water,2.9,0.0
dust,beer,1.1,0.5
cut,knife,6.6,1.0
cut,paper,3,0.8
cut,fork,2.5,0.8
cut,saw,5.9,0.5
cut,scissors,7,1.0
cut,teeth,3.7,0.5
cut,razor,4.6,1.0
eat,fork,6.7,0.5
eat,toothpick,2.1,0.5
eat,knife,6.3,0.5
eat,pliers,1,0.0
eat,spoon,6.3,0.5
eat,cup,3.3,0.5
eat,napkin,3.8,0.5
draw,pen,5.6,1.0
draw,marker,5.8,0.5
draw,paper,6.3,1.0
draw,stapler,1.2,0.5
draw,glue,1.2,0.5
draw,crayon,5.7,0.8
draw,pencil,6.8,1.0
hunt,rocks,1.5,0.5
hunt,rifle,6.7,0.8
hunt,harpoon,5.2,0.5
hunt,net,5.2,0.5
hunt,box,2.1,0.5
hunt,gun,6.7,0.5
hunt,missile,1.4,0.5
measure,protractor,5.1,0.8
measure,string,2.8,0.5
measure,scale,5.8,1.0
measure,ruler,6.8,1.0
measure,balance,5.2,0.5
measure,stick,1.7,0.8
measure,pencil,3.2,0.5
cure,medicine,6.9,0.5
cure,herbs,5.4,0.5
cure,therapy,5.9,0.5
cure,kiss,3.3,0.0
cure,acupuncture,4,0.5
cure,food,3.9,0.0
cure,sauna,2,0.5
float,boat,6.4,0.8
float,raft,6.2,0.5
float,chair,1.5,0.5
float,wood,3.5,0.5
float,canoe,5.8,0.5
float,tube,5.3,0.5
float,air,4.7,0.5
hit,fist,6.8,0.8
hit,water,1.7,0.5
hit,bat,5.9,0.8
hit,pillow,3.8,0.5
hit,stick,3.8,0.5
hit,hammer,5.2,1.0
hit,apple,1.8,0.5
hit,towel,2.2,0.5
revive,slap,4.7,0.5
revive,water,4.8,0.5
revive,scream,4,0.5
revive,silence,1.1,0.5
revive,oxygen,6,0.5
revive,respirator,5.6,0.5
watch,telescope,5.3,0.5
watch,mirror,4.8,0.5
watch,binoculars,6.1,0.5
watch,kaleidoscope,2.7,0.5
watch,glasses,6.2,0.5
watch,light,5,0.5
watch,radar,3.8,0.5
dig,shovel,6.9,1.0
dig,fork,2.5,0.5
dig,spoon,3,0.5
dig,cup,1.9,0.8
dig,hoe,4.4,0.8
dig,pickaxe,4,0.8
dig,spade,5.6,1.0
stab,scissors,4,0.5
stab,fork,4.3,0.5
stab,toothpick,3,0.5
stab,knife,6.8,1.0
stab,dagger,5.9,0.8
stab,razor,2.5,0.8
stab,hatchet,3.2,0.8
stab,nail,2.2,0.5
repair,hammer,6.7,0.5
repair,shoe,1.5,0.5
repair,string,3,0.5
repair,elastic,2.7,0.5
repair,glue,5.6,0.5
repair,saw,4.4,0.5
repair,screwdriver,6.2,0.8
repair,wrench,5.8,0.8
repair,tape,5.8,0.5
wrap,bandage,5.4,0.8
wrap,blanket,5.2,0.8
wrap,tinfoil,5.9,0.5
wrap,curtain,1.6,0.8
wrap,tape,5.6,0.8
wrap,ribbon,5.3,0.8
wrap,scissors,4.4,0.8
call,radio,2.5,0.5
call,megaphone,3.4,0.5
call,telephone,6.9,1.0
call,can,1.4,0.5
call,voice,6.8,0.5
call,paper,2.5,0.5
call,note,2.7,0.5
call,computer,4.8,0.5
attract,beauty,6.8,0.5
attract,scent,5.6,0.5
attract,humour,6,0.5
attract,force,1.8,0.5
attract,intelligence,5.9,0.5
attract,money,4.8,0.5
wash,water,7,1.0
wash,soap,6.5,0.8
wash,detergent,6.3,0.8
wash,paper,1.5,0.5
wash,vinegar,2.8,0.5
wash,bleach,4.8,0.5
time,sundial,2.3,0.5
time,stopwatch,6.5,0.5
time,clock,6.6,0.5
time,hourglass,2.7,0.5
time,sun,2.4,0.0
time,watch,6.8,0.5
inflate,air,6.6,1.0
inflate,water,2.8,0.8
inflate,helium,6,0.5
inflate,smoke,1.9,0.5
inflate,pump,5.8,0.8
inflate,lungs,5.7,0.5
inflate,generator,3.5,0.8
signal,password,3.5,0.5
signal,flag,4.6,0.5
signal,light,4.7,0.5
signal,nod,5.9,0.5
signal,cough,4,0.5
signal,hand,6.5,0.5
vandalize,knife,4.3,0.8
vandalize,paint,6,0.5
vandalize,pen,5.1,0.5
vandalize,eggs,5.1,0.5
vandalize,keys,4.7,0.5
vandalize,mallet,2.9,0.8
fish,rod,6.4,0.5
fish,stick,2.8,0.5
fish,net,5.9,0.8
fish,harpoon,4.1,0.5
fish,yarn,1.7,0.0
fish,line,6.7,0.5
fish,lure,5.9,0.5
fish,bait,6.4,0.5
fish,pole,6.3,0.5
teach,textbook,6.2,0.5
teach,chalk,6.1,0.5
teach,overhead,5.8,0.5
teach,spoon,1.1,0.5
teach,cartoon,2.5,0.5
teach,graph,4.6,0.5
teach,dice,1.4,0.0
stir,spoon,6.9,0.8
stir,scissors,1.4,0.5
stir,fork,4.1,0.5
stir,straw,3.9,0.8
stir,stick,2.8,0.5
heat,furnace,6.7,0.8
