predicate,argument,role_type,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
advise,banker,ARG0,The banker advised the client to invest in stocks.,The banker advised the client to take out a loan.,The banker advised the client to diversify their investments.,The banker advised the client to seek professional advice.,The banker advised the client to be cautious with their finances.
advise,banker,ARG1,The banker advised the client to invest in stocks.,The banker advised the client to take out a loan.,The banker advised the client to diversify their investments.,The banker advised the client to seek professional advice.,The banker advised the client to be cautious with their finances.
advise,biologist,ARG0,The biologist advised the scientist to conduct further research.,The biologist advised the company to invest in renewable energy.,The biologist advised the politician to take action on climate change.,The biologist advised the teacher to use more interactive teaching methods.,The biologist advised the doctor to prescribe more natural remedies.
advise,biologist,ARG1,The biologist advised the scientist to conduct further research.,The biologist advised the company to invest in renewable energy.,The biologist advised the politician to take action on climate change.,The biologist advised the teacher to use more interactive teaching methods.,The biologist advised the doctor to prescribe more natural remedies.
advise,business,ARG0,I advise the business to invest in a new marketing campaign.,The business advised me to take a break from work.,The business advised me to seek professional help.,The business advised me to take a different approach to the project.,The business advised me to reconsider my career choice.
advise,business,ARG1,I advise the business to invest in a new marketing campaign.,The business advised me to seek legal counsel before making any decisions.,The business advised me to take a break and recharge my batteries.,The business advised me to be more assertive in negotiations.,The business advised me to take a different approach to the project.
advise,client,ARG0,The lawyer advised the client to take legal action.,The doctor advised the patient to take medication.,The teacher advised the student to study harder.,The manager advised the employee to take a break.,The coach advised the athlete to practice more.
advise,client,ARG1,The lawyer advised the client to take legal action.,The doctor advised the patient to take medication.,The teacher advised the student to study harder.,The manager advised the employee to take a break.,The coach advised the athlete to practice more.
advise,customer,ARG0,The customer advised the salesperson to recommend the new product.,The salesperson advised the customer to try the new product.,The customer advised the salesperson to provide a discount for the new product.,The salesperson advised the customer to return the product if it did not meet their expectations.,The customer advised the salesperson to provide a warranty for the new product.
advise,customer,ARG1,The customer advised the salesperson to recommend the new product.,The salesperson advised the customer to try the new product.,The customer advised the salesperson to provide a discount for the new product.,The salesperson advised the customer to return the product if it did not meet their expectations.,The customer advised the salesperson to provide a warranty for the new product.
advise,designer-gardener,ARG0,The designer-gardener advised the client to use a specific plant for the garden.,The designer-gardener advised the client to avoid using a particular plant in the garden.,The designer-gardener advised the client to use a specific type of soil for the garden.,The designer-gardener advised the client to use a specific type of irrigation system for the garden.,The designer-gardener advised the client to use a specific type of pest control for the garden.
