predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,library,The library serves as a place for people to study and learn.,1.0,The library serves as a resource for researchers to access information.,1.0,The library serves as a community center for the local community.,0.8,The library serves as a place for people to relax and unwind.,0.8,The library serves as a hub for cultural events and activities.,1.0,2.4,0.92
serve,restaurant,The restaurant serves delicious food.,0.8,The restaurant serves a variety of cuisines.,0.8,The restaurant serves drinks.,0.8,The restaurant serves desserts.,0.8,The restaurant serves breakfast.,0.8,7,0.8
serve,hospital,The hospital serves as a place of healing for patients.,1.0,The hospital serves as a source of medical care for the community.,1.0,The hospital serves as a place of refuge for those in need.,0.8,The hospital serves as a place of learning for medical students.,0.8,The hospital serves as a place of research for medical professionals.,0.8,5.1,0.88
sweep,living room,The broom swept the living room.,1.0,The vacuum cleaner swept the living room.,1.0,The dustpan and brush swept the living room.,1.0,The broom swept the living room floor.,0.8,The vacuum cleaner swept the living room floor.,0.8,2.3,0.92
sweep,bathroom,I sweep the bathroom every day to keep it clean.,1.0,The maid sweeps the bathroom every week to keep it spotless.,1.0,The sweeper sweeps the bathroom every month to remove dirt and dust.,1.0,The janitor sweeps the bathroom every day to keep it tidy.,1.0,The sweeper sweeps the bathroom every week to remove all the dirt and dust.,1.0,4.8,1.0
sweep,restaurant,The sweep of the restaurant's exterior was impressive.,0.8,The restaurant's sweep of the dining area was clean and well-organized.,0.8,The sweep of the restaurant's parking lot was smooth and easy to navigate.,0.8,The restaurant's sweep of the kitchen was efficient and well-equipped.,0.8,The sweep of the restaurant's service was friendly and attentive.,0.8,6.1,0.8
sweep,kitchen,The broom swept the kitchen floor.,0.8,,0.8,,0.8,,0.8,,0.8,6.8,0.8
sweep,barn,The sweep of the barn's roof was impressive.,0.8,The barn's sweep was a sight to behold.,0.8,The barn's sweep was a beautiful sight.,0.8,The sweep of the barn was a sight to behold.,0.8,The sweep of the barn was a beautiful sight.,0.8,4.6,0.8
sweep,theatre,The sweep of the theatre's stage was impressive.,0.8,The theatre's sweep was breathtaking.,0.8,The sweep of the theatre's auditorium was grand.,0.8,The theatre's sweep was majestic.,0.8,The sweep of the theatre's balcony was stunning.,0.8,4.7,0.8
act,stage,The actor performed on stage.,0.8,The actress acted on stage.,0.8,The actor acted on the stage.,0.8,The actress performed on the stage.,0.8,The actor performed on the stage.,0.8,6.9,0.8
act,school,The school acted as a place of learning.,0.8,The school acted as a place of education.,0.8,The school acted as a place of study.,0.8,The school acted as a place of research.,0.8,The school acted as a place of innovation.,0.5,5.1,0.74
act,work,The work is acting in the location.,0.5,The location is acting in the work.,0.5,The work is acting in the location.,0.5,The location is acting in the work.,0.5,The work is acting in the location.,0.5,2.9,0.5
act,theater,The theater acted in the play.,0.5,The play was acted in the theater.,1.0,The theater was the location of the act.,1.0,The act was performed in the theater.,1.0,The theater was the site of the act.,0.8,6.9,0.86
act,party,The party was held at the park.,0.8,The party was held in the backyard.,0.8,The party was held in the living room.,0.8,The party was held in the kitchen.,0.8,The party was held in the bedroom.,0.8,4.1,0.8
act,gymnasium,The gymnasium is where the students act out their sports.,0.8,The gymnasium is where the students act out their dance routines.,0.8,The gymnasium is where the students act out their plays.,0.8,The gymnasium is where the students act out their musical performances.,0.8,The gymnasium is where the students act out their theatrical performances.,0.8,3.7,0.8
act,playground,The children played on the playground.,1.0,The playground was a popular spot for the kids to play.,0.8,The playground was a great place for the children to run around.,1.0,The playground was a fun place for the kids to play hide and seek.,0.8,The playground was a place where the children could let off steam and have fun.,0.8,2.9,0.88
examine,hospital,The doctor examined the patient in the hospital.,0.8,The nurse examined the patient in the hospital.,0.8,The doctor examined the patient in the hospital's emergency room.,0.75,,0.8,,0.8,6.9,0.79
examine,office,The police examined the office for clues.,1.0,The forensic team examined the office for fingerprints.,0.8,The detective examined the office for any signs of tampering.,0.8,The investigator examined the office for any evidence of fraud.,0.8,The scientist examined the office for any unusual chemicals or substances.,0.8,4.7,0.84
examine,laboratory,The researcher examined the laboratory to ensure that it was clean and well-equipped.,1.0,The scientist examined the laboratory to identify any potential hazards.,0.8,The technician examined the laboratory to ensure that all equipment was functioning properly.,0.8,The engineer examined the laboratory to identify any areas for improvement.,1.0,The quality control specialist examined the laboratory to ensure that all procedures were followed correctly.,0.8,6.8,0.88
examine,school,The teacher examined the school's curriculum to ensure it was comprehensive and up-to-date.,0.8,The principal examined the school's facilities to ensure they were safe and well-maintained.,0.8,The school's administration examined the school's budget to ensure it was balanced and sustainable.,0.8,The school's staff examined the school's policies to ensure they were fair and equitable.,0.8,,0.5,5.2,0.74
examine,court,The court examined the evidence presented in the trial.,0.8,The court examined the witnesses in the trial.,0.8,The court examined the legal precedents in the case.,0.8,The court examined the legal arguments in the case.,0.8,The court examined the legal implications of the ruling.,0.8,5.9,0.8
examine,bank,Examine the bank's financial statements to determine its financial health.,0.8,Examine the bank's policies to ensure they are fair and transparent.,0.8,Examine the bank's customer service to ensure it is responsive and helpful.,0.8,Examine the bank's technology to ensure it is up-to-date and secure.,0.8,Examine the bank's reputation to ensure it is trustworthy and reputable.,0.8,3.8,0.8
gamble,bar,I gambled on the bar to win the jackpot.,0.5,,0.5,The bar was the location where I gambled to win the prize.,0.8,"I gambled on the bar to win the game, but I lost.",0.5,,0.5,4.3,0.56
