predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
abandon,baby,ARG0,The mother abandoned the baby in the park.,0.75,The father abandoned the baby at the hospital.,0.75,The grandmother abandoned the baby in the forest.,0.75,The teacher abandoned the baby in the classroom.,0.75,The doctor abandoned the baby in the hospital.,0.75,3,0.75
abandon,baby,ARG1,The mother abandoned the baby in the park.,0.75,The father abandoned the baby at the hospital.,0.75,The caregiver abandoned the baby in the car.,0.75,The stranger abandoned the baby on the street.,0.75,The government abandoned the baby in the orphanage.,0.75,2.8,0.75
abandon,cat,ARG0,The cat abandoned the mouse hole.,0.75,The cat abandoned the toy.,0.75,The cat abandoned the game.,0.75,The cat abandoned the book.,0.75,The cat abandoned the ball.,0.75,4.6,0.75
abandon,cat,ARG1,The cat abandoned the mouse hole.,0.75,The cat abandoned the toy box.,0.75,The cat abandoned the sleeping bag.,0.75,The cat abandoned the food bowl.,0.75,The cat abandoned the litter box.,0.75,4.8,0.75
abandon,child,ARG0,The mother abandoned the child at the orphanage.,0.75,The father abandoned the child in the forest.,1.0,The government abandoned the child in the refugee camp.,0.75,The teacher abandoned the child in the classroom.,0.75,The doctor abandoned the child in the hospital.,0.75,4.6,0.8
abandon,child,ARG1,The mother abandoned the child at the orphanage.,0.75,The father abandoned the child in the forest.,0.75,The government abandoned the child in the refugee camp.,0.75,The teacher abandoned the child in the classroom.,0.75,The doctor abandoned the child in the hospital.,0.75,3.1,0.75
abandon,kidnapper,ARG0,The kidnapper abandoned the child.,0.75,The child was abandoned by the kidnapper.,0.75,The kidnapper left the child behind.,0.75,The child was left behind by the kidnapper.,0.75,The kidnapper fled with the child.,0.75,3.9,0.75
abandon,kidnapper,ARG1,The kidnapper abandoned the child.,0.75,The child was abandoned by the kidnapper.,0.75,The kidnapper left the child behind.,0.75,The child was left behind by the kidnapper.,0.75,The kidnapper fled with the child.,0.75,1.5,0.75
accept,award,ARG0,The judge accepted the award for the best play.,0.75,,0.75,,0.75,,0.75,,0.75,1.1,0.75
accept,award,ARG1,The judge accepted the award for the best play.,0.75,,0.75,,0.75,,0.75,,0.75,6.6,0.75
accept,friend,ARG0,I accepted my friend's invitation to the party.,0.75,,0.75,,0.75,,0.75,,0.75,6.1,0.75
accept,friend,ARG1,I accepted my friend's invitation to the party.,0.75,,0.75,,0.75,,0.75,,0.75,5.8,0.75
accept,neighbor,ARG0,The neighbor accepted the invitation to dinner.,0.75,The neighbor accepted the offer of help.,0.75,The neighbor accepted the gift with gratitude.,0.75,The neighbor accepted the apology with a smile.,0.75,The neighbor accepted the invitation to the party with excitement.,0.75,5.4,0.75
accept,neighbor,ARG1,The neighbor accepted the invitation to dinner.,0.75,The neighbor accepted the offer of help.,0.75,The neighbor accepted the gift with gratitude.,0.75,The neighbor accepted the apology with a smile.,0.75,The neighbor accepted the invitation to the party with excitement.,0.75,4.4,0.75
accept,student,ARG0,The student accepted the offer.,0.75,The student accepted the invitation.,1.0,The student accepted the assignment.,0.75,The student accepted the challenge.,1.0,The student accepted the responsibility.,0.75,5.9,0.85
accept,student,ARG1,The teacher accepted the student's paper.,0.75,The student accepted the teacher's offer.,0.75,,0.75,,0.75,,0.75,5.3,0.75
accept,teenager,ARG0,The teenager accepted the invitation to the party.,0.75,The teenager accepted the offer to work at the restaurant.,0.75,The teenager accepted the challenge to play a game of basketball.,0.75,The teenager accepted the invitation to the concert.,0.75,The teenager accepted the offer to help with the project.,0.75,5.5,0.75
