predicate,argument,role_type,actual_fit,exp_fit
abandon,baby,ARG0,3,0.75
abandon,baby,ARG1,2.8,0.75
abandon,cat,ARG0,4.6,0.75
abandon,cat,ARG1,4.8,0.75
abandon,child,ARG0,4.6,0.75
abandon,child,ARG1,3.1,0.75
abandon,kidnapper,ARG0,3.9,0.75
abandon,kidnapper,ARG1,1.5,0.75
accept,award,ARG0,1.1,0.75
accept,award,ARG1,6.6,0.75
accept,friend,ARG0,6.1,0.75
accept,friend,ARG1,5.8,0.75
accept,neighbor,ARG0,5.4,0.75
accept,neighbor,ARG1,4.4,0.75
accept,student,ARG0,5.9,0.75
accept,student,ARG1,5.3,0.75
accept,teenager,ARG0,5.5,0.75
accept,teenager,ARG1,4.1,0.75
accuse,criminal,ARG0,3.4,0.75
accuse,criminal,ARG1,6.9,0.75
accuse,defendant,ARG0,3.6,0.75
accuse,defendant,ARG1,6.8,0.75
accuse,dog,ARG0,1.3,0.75
accuse,dog,ARG1,3.5,0.75
accuse,prosecutor,ARG0,6.8,0.75
accuse,prosecutor,ARG1,2.6,0.75
accuse,suspect,ARG0,3.3,0.75
accuse,suspect,ARG1,6.8,0.75
accuse,witness,ARG0,6.4,0.75
accuse,witness,ARG1,3.2,0.75
admire,actress,ARG0,4.6,0.75
admire,actress,ARG1,6.4,0.75
admire,athlete,ARG0,4.8,0.75
admire,athlete,ARG1,6.4,0.75
admire,disciple,ARG0,5.6,0.75
admire,disciple,ARG1,4.1,0.75
admire,fan,ARG0,6.8,0.75
admire,fan,ARG1,1.7,0.75
admire,groupie,ARG0,6.9,0.75
admire,groupie,ARG1,1.9,0.75
adopt,baby,ARG0,1.4,0.75
adopt,baby,ARG1,6.4,0.75
adopt,child,ARG0,2,1.0
adopt,child,ARG1,6.2,1.0
adopt,committee,ARG0,5.5,0.75
adopt,committee,ARG1,3.3,0.75
adopt,couple,ARG0,5.9,0.75
adopt,couple,ARG1,1.6,0.75
adopt,policy,ARG0,2.1,0.75
adopt,policy,ARG1,6,0.75
applaud,actress,ARG0,2.9,0.75
applaud,actress,ARG1,6.5,0.75
applaud,critic,ARG0,5,0.75
applaud,critic,ARG1,1.5,0.75
applaud,director,ARG0,4.8,0.75
applaud,director,ARG1,4.5,0.75
applaud,musician,ARG0,2.9,0.75
applaud,musician,ARG1,6.8,0.75
applaud,performance,ARG0,1.2,0.75
applaud,performance,ARG1,6.7,0.75
approve,candidate,ARG0,4,0.75
approve,candidate,ARG1,4.8,0.75
approve,committee,ARG0,6.2,0.75
approve,committee,ARG1,3.8,0.75
approve,contractor,ARG0,5.7,0.75
approve,contractor,ARG1,3.6,0.75
approve,plan,ARG0,1.8,0.75
approve,plan,ARG1,5.3,0.75
approve,policy,ARG0,2.3,0.75
approve,policy,ARG1,5.2,0.75
arrest,cop,ARG0,6.7,0.75
arrest,cop,ARG1,1.6,0.75
arrest,corporal,ARG0,5,0.75
arrest,corporal,ARG1,1.5,0.75
arrest,crook,ARG0,1.2,0.75
arrest,crook,ARG1,5.9,0.75
arrest,guard,ARG0,5,0.75
arrest,guard,ARG1,1.6,0.75
arrest,police,ARG0,6.4,0.75
arrest,police,ARG1,1.5,0.75
arrest,suspect,ARG0,1.4,0.75
arrest,suspect,ARG1,5.5,0.75
assist,employee,ARG0,6,0.75
assist,employee,ARG1,5.3,0.75
assist,grandmother,ARG0,6,0.75
assist,grandmother,ARG1,6.1,0.75
assist,host,ARG0,6.1,0.75
assist,host,ARG1,3.4,0.75
assist,moron,ARG0,1.7,0.0
assist,moron,ARG1,3.4,0.0
attack,boxer,ARG0,6.4,0.75
attack,boxer,ARG1,6.1,0.75
attack,fort,ARG0,1.6,0.75
attack,fort,ARG1,6,0.75
attack,infantry,ARG0,5.6,0.75
attack,infantry,ARG1,5.7,0.75
attack,opinion,ARG0,3.2,0.75
attack,opinion,ARG1,6.5,0.75
attack,pacifist,ARG0,1.9,0.0
attack,pacifist,ARG1,3.4,0.25
attack,troops,ARG0,6.6,0.75
attack,troops,ARG1,6.2,0.75
audit,accountant,ARG0,6,0.75
audit,accountant,ARG1,4,0.75
audit,businessman,ARG0,3.8,0.75
audit,businessman,ARG1,6,0.75
audit,citizen,ARG0,2.2,0.75
audit,citizen,ARG1,5.5,0.75
audit,corporation,ARG0,4.8,0.75
audit,corporation,ARG1,6.1,0.75
audit,government,ARG0,6.2,0.75
audit,government,ARG1,3,0.75
audit,taxpayer,ARG0,2.7,0.75
audit,taxpayer,ARG1,6.2,0.75
beat,bully,ARG0,6.5,0.75
beat,bully,ARG1,1.9,0.75
beat,egg,ARG0,1.2,1.0
beat,egg,ARG1,6.1,0.75
beat,parent,ARG0,3.7,0.75
beat,parent,ARG1,2.2,0.75
beat,wimp,ARG0,1.7,1.0
beat,wimp,ARG1,4.9,0.25
betray,liar,ARG0,6.9,0.75
betray,liar,ARG1,4.7,0.75
betray,partner,ARG0,3.5,0.75
betray,partner,ARG1,4.5,0.75
betray,wife,ARG0,3.4,0.75
betray,wife,ARG1,4.4,0.75
blame,skydiver,ARG0,2,0.75
blame,skydiver,ARG1,1.5,0.75
blame,student,ARG0,5.3,0.75
blame,student,ARG1,4.7,0.75
blame,weatherman,ARG0,3.4,0.75
blame,weatherman,ARG1,5.5,0.75
blame,writer,ARG0,4.5,0.75
blame,writer,ARG1,4.9,0.75
bother,mechanic,ARG0,2.8,0.75
bother,mechanic,ARG1,3.4,0.75
bother,receptionist,ARG0,2.1,0.75
bother,receptionist,ARG1,4.7,0.75
break,child,ARG0,6,0.75
break,child,ARG1,1.4,0.75
break,horse,ARG0,3.8,0.75
break,horse,ARG1,2.9,0.75
break,vase,ARG0,1.1,0.75
break,vase,ARG1,5.9,0.75
break,window,ARG0,1,0.75
break,window,ARG1,6,0.75
bribe,judge,ARG0,1.6,0.75
bribe,judge,ARG1,4.5,0.75
bribe,manager,ARG0,3.6,0.75
bribe,manager,ARG1,5.1,0.75
bribe,undertaker,ARG0,2.2,0.75
bribe,undertaker,ARG1,2.5,0.75
bury,bone,ARG0,1.3,0.75
bury,bone,ARG1,6.2,0.75
bury,evidence,ARG0,1.4,0.75
bury,evidence,ARG1,4.3,0.75
bury,undertaker,ARG0,6.7,0.75
bury,undertaker,ARG1,2.3,0.75
bury,victim,ARG0,1.8,0.75
bury,victim,ARG1,5.3,0.75
calm,family,ARG0,5.9,0.75
calm,family,ARG1,4.1,0.75
calm,hostage,ARG0,2.6,1.0
calm,hostage,ARG1,4.4,1.0
calm,small_child,ARG0,2.2,0.75
calm,small_child,ARG1,6.4,0.75
calm,teacher,ARG0,5.4,0.75
calm,teacher,ARG1,2.5,0.75
capture,archeologist,ARG0,5.1,0.75
capture,archeologist,ARG1,1.4,0.75
capture,army,ARG0,6.5,0.75
capture,army,ARG1,3.1,0.75
capture,criminal,ARG0,3.6,0.75
capture,criminal,ARG1,6.1,0.75
capture,fugitive,ARG0,2.6,0.75
capture,fugitive,ARG1,5.1,0.75
capture,hunter,ARG0,6,0.75
capture,hunter,ARG1,2,0.75
capture,monkey,ARG0,3.2,0.75
capture,monkey,ARG1,3.9,0.75
capture,policeman,ARG0,6.4,0.75
capture,policeman,ARG1,2.1,0.75
capture,prisoner,ARG0,1.8,0.75
capture,prisoner,ARG1,5,0.75
capture,rabbit,ARG0,2.3,0.75
capture,rabbit,ARG1,5.5,0.75
capture,soldier,ARG0,6.2,0.75
capture,soldier,ARG1,4.7,0.75
capture,tourist,ARG0,4.1,0.75
capture,tourist,ARG1,2.5,0.75
capture,troop,ARG0,6,0.75
capture,troop,ARG1,3.9,0.75
capture,valley,ARG0,1.4,0.75
capture,valley,ARG1,1.8,0.75
caress,dancer,ARG0,3.6,0.75
caress,dancer,ARG1,4,0.75
caress,electrician,ARG0,1.5,0.0
caress,electrician,ARG1,1.3,0.25
caress,grandmother,ARG0,6.2,0.75
caress,grandmother,ARG1,4.6,0.75
caress,hostess,ARG0,3,0.75
caress,hostess,ARG1,2.7,0.75
carry,furniture,ARG0,1.6,0.75
carry,furniture,ARG1,5.3,0.75
carry,invalid,ARG0,1.3,1.0
carry,invalid,ARG1,4.3,1.0
carry,newborn,ARG0,1.2,0.75
carry,newborn,ARG1,6.2,0.75
carry,orderly,ARG0,5.3,1.0
carry,orderly,ARG1,1.6,0.75
carry,postman,ARG0,6.8,0.75
carry,postman,ARG1,1.6,0.75
challenge,aristocrat,ARG0,3.9,0.75
challenge,aristocrat,ARG1,3.6,0.75
challenge,coward,ARG0,1.2,0.75
challenge,coward,ARG1,3.8,0.75
challenge,knight,ARG0,6.7,0.75
challenge,knight,ARG1,5.5,0.75
challenge,moron,ARG0,2.2,1.0
challenge,moron,ARG1,3.1,1.0
chase,bull,ARG0,6.3,0.75
chase,bull,ARG1,2.5,0.75
chase,car,ARG0,3.6,0.75
chase,car,ARG1,4.5,0.75
chase,lion,ARG0,6.6,0.75
chase,lion,ARG1,2.6,0.75
chase,mouse,ARG0,3.1,0.75
chase,mouse,ARG1,5.5,0.75
chase,rabbit,ARG0,3.3,0.75
chase,rabbit,ARG1,5.1,0.75
cheer,athlete,ARG0,6.2,0.75
cheer,athlete,ARG1,6.6,0.75
cheer,crowd,ARG0,6.4,0.75
cheer,crowd,ARG1,2.9,0.75
cheer,farmer,ARG0,1.9,0.75
cheer,farmer,ARG1,1.7,0.75
cheer,performance,ARG0,1.5,0.75
cheer,performance,ARG1,5.4,0.75
cheer,quarterback,ARG0,3.8,0.75
cheer,quarterback,ARG1,5.2,0.75
cheer,spectators,ARG0,6.7,0.75
cheer,spectators,ARG1,1.3,0.75
cheer,touchdown,ARG0,1.4,0.75
cheer,touchdown,ARG1,6,0.75
choose,candidate,ARG0,4,0.75
choose,candidate,ARG1,5.6,0.75
choose,committee,ARG0,6.4,0.75
choose,committee,ARG1,4.3,0.75
choose,computer,ARG0,3.3,0.75
choose,computer,ARG1,4.3,0.75
choose,contestant,ARG0,6,0.75
choose,contestant,ARG1,5.3,0.75
choose,customer,ARG0,6.6,0.75
choose,customer,ARG1,1.8,0.75
choose,shopper,ARG0,6.4,0.75
choose,shopper,ARG1,1.9,0.75
conquer,king,ARG0,6.1,0.75
conquer,king,ARG1,3.8,0.75
conquer,kingdom,ARG0,3.1,0.75
conquer,kingdom,ARG1,5.7,0.75
conquer,peasants,ARG0,2.9,0.75
conquer,peasants,ARG1,4.5,0.75
consider,alternatives,ARG0,1.3,0.75
consider,alternatives,ARG1,6.6,0.75
consider,carpenter,ARG0,5.1,0.75
consider,carpenter,ARG1,5.1,0.75
consider,coroner,ARG0,5.8,0.75
consider,coroner,ARG1,3.4,0.75
consider,golfer,ARG0,5.2,0.75
consider,golfer,ARG1,2.6,0.75
consider,scientists,ARG0,6.6,0.75
consider,scientists,ARG1,4,0.75
consider,secretary,ARG0,5.2,0.75
consider,secretary,ARG1,4.6,0.75
console,bride,ARG0,3.4,0.75
console,bride,ARG1,4.2,0.75
console,coward,ARG0,2.1,0.75
console,coward,ARG1,3.9,0.75
console,secretary,ARG0,3.1,0.75
console,secretary,ARG1,2.2,0.75
console,widow,ARG0,3.6,0.75
console,widow,ARG1,6.6,0.75
convict,criminal,ARG0,1.4,1.0
convict,criminal,ARG1,5.9,0.75
convict,defendant,ARG0,2.4,0.75
convict,defendant,ARG1,4.5,0.75
convict,judge,ARG0,6.4,0.75
convict,judge,ARG1,1.5,0.75
convict,juror,ARG0,6.6,0.75
convict,juror,ARG1,1.3,0.75
convict,suspect,ARG0,1.8,0.75
convict,suspect,ARG1,5.5,0.75
convince,aunt,ARG0,3.3,0.75
convince,aunt,ARG1,3.9,0.75
convince,hypnotist,ARG0,6.2,0.75
convince,hypnotist,ARG1,1.9,0.75
convince,inmate,ARG0,3.5,0.75
convince,inmate,ARG1,4.3,0.75
convince,spy,ARG0,5,0.75
convince,spy,ARG1,3.3,0.75
corner,fugitive,ARG0,3.7,0.75
corner,fugitive,ARG1,4.9,0.75
corner,horse,ARG0,3.3,0.75
corner,horse,ARG1,3.9,0.75
corner,mouse,ARG0,1.9,0.75
corner,mouse,ARG1,5.9,0.75
corner,nurse,ARG0,3,0.75
corner,nurse,ARG1,2.3,0.75
crucify,president,ARG0,2.6,0.75
crucify,president,ARG1,3.1,0.75
crucify,savior,ARG0,2.3,0.75
crucify,savior,ARG1,4.9,0.75
crucify,teacher,ARG0,1.8,0.75
crucify,teacher,ARG1,2.2,0.75
crush,avalanche,ARG0,6.9,1.0
crush,avalanche,ARG1,1.6,1.0
crush,buddy,ARG0,3,0.75
crush,buddy,ARG1,2.7,0.75
crush,climber,ARG0,2.6,0.75
crush,climber,ARG1,5,0.75
crush,skunk,ARG0,1.4,1.0
crush,skunk,ARG1,4,0.75
cure,businesswoman,ARG0,1.9,0.25
cure,businesswoman,ARG1,3,0.25
cure,doctor,ARG0,6.8,0.75
cure,doctor,ARG1,3.8,0.75
cure,drug,ARG0,6.3,0.75
cure,drug,ARG1,1.8,0.75
cure,patient,ARG0,1.4,0.75
cure,patient,ARG1,6.1,0.75
cure,person,ARG0,3.2,0.75
cure,person,ARG1,5.6,0.75
cure,physician,ARG0,6.7,0.75
cure,physician,ARG1,3.1,0.75
cure,saint,ARG0,3.7,1.0
cure,saint,ARG1,2.3,1.0
cure,soldier,ARG0,3,0.75
cure,soldier,ARG1,4.3,0.75
cure,treatment,ARG0,5.8,0.75
cure,treatment,ARG1,1.3,0.75
cure,veterinarian,ARG0,6.4,0.75
cure,veterinarian,ARG1,3.3,0.75
describe,boy,ARG0,6.2,0.75
describe,boy,ARG1,5.8,0.75
describe,cashier,ARG0,4.7,0.75
describe,cashier,ARG1,3.2,0.75
describe,explorer,ARG0,6.9,0.75
describe,explorer,ARG1,3.9,0.75
describe,necklace,ARG0,1.2,0.75
describe,necklace,ARG1,5.9,0.75
describe,person,ARG0,6.5,0.75
describe,person,ARG1,6.3,0.75
desert,infant,ARG0,1.3,1.0
desert,infant,ARG1,2.7,1.0
desert,turtle,ARG0,1.6,1.0
desert,turtle,ARG1,2.7,0.0
desert,wife,ARG0,3.1,1.0
desert,wife,ARG1,4.4,0.75
devour,carrot,ARG0,1,0.75
devour,carrot,ARG1,5.7,0.75
devour,cookie,ARG0,1,0.75
devour,cookie,ARG1,6.7,0.75
devour,fish,ARG0,3.9,0.75
devour,fish,ARG1,6.1,0.75
devour,glutton,ARG0,5.3,0.75
devour,glutton,ARG1,1.6,0.75
devour,goose,ARG0,3.7,0.75
devour,goose,ARG1,5.2,0.75
devour,mouse,ARG0,4.2,0.75
devour,mouse,ARG1,4.6,0.75
devour,pig,ARG0,5.3,0.75
devour,pig,ARG1,5.6,0.75
devour,rabbit,ARG0,3.3,0.75
devour,rabbit,ARG1,5.7,0.75
devour,snake,ARG0,6.2,0.75
devour,snake,ARG1,3.9,0.75
dismiss,principal,ARG0,6.3,0.75
dismiss,principal,ARG1,2,0.75
dismiss,pupil,ARG0,1.5,0.75
dismiss,pupil,ARG1,5.5,0.75
dismiss,student,ARG0,1.5,0.75
dismiss,student,ARG1,5.9,0.75
dismiss,teacher,ARG0,6.8,0.75
dismiss,teacher,ARG1,2.5,0.75
