predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.7
serve,restaurant,7,0.9
serve,hospital,5.1,0.8
sweep,living room,2.3,0.9
sweep,bathroom,4.8,0.9
sweep,restaurant,6.1,0.9
sweep,kitchen,6.8,0.9
sweep,barn,4.6,0.9
sweep,theatre,4.7,0.8
act,stage,6.9,0.9
act,school,5.1,0.8
act,work,2.9,0.2
act,theater,6.9,0.9
act,party,4.1,0.2
act,gymnasium,3.7,0.2
act,playground,2.9,0.2
examine,hospital,6.9,0.8
examine,office,4.7,0.8
examine,laboratory,6.8,0.8
examine,school,5.2,0.7
examine,court,5.9,0.2
examine,bank,3.8,0.2
gamble,bar,4.3,0.7
gamble,racetrack,6.8,0.9
gamble,casino,7,0.9
gamble,hotel,3.5,0.7
gamble,party,3.5,0.4
gamble,mall,2,0.2
gamble,airport,1.8,0.2
gamble,arena,3.8,0.6
drive,highway,7,0.9
drive,racetrack,6.2,0.8
drive,rink,2.8,0.2
drive,sidewalk,2.1,0.1
drive,ditch,1.7,0.7
drive,field,3.7,0.7
hunt,forest,6.9,0.9
hunt,lake,4.3,0.2
hunt,backyard,2.2,0.6
hunt,ocean,3.2,0.7
hunt,swamp,3.5,0.8
hunt,meadow,4.1,0.7
hunt,garden,2,0.2
browse,store,6.9,0.9
browse,classroom,2.5,0.2
browse,library,6.2,0.9
browse,gallery,6.8,0.9
browse,museum,6.6,0.8
browse,bar,3.2,0.2
bury,sandbox,6.3,0.2
bury,concrete,2.9,0.2
bury,ground,6.1,0.9
bury,cemetery,7,0.9
bury,dump,4.8,0.2
bury,subway,1.4,0.1
mingle,party,6.9,0.9
mingle,mall,4.3,0.8
mingle,office,4,0.8
mingle,bar,6.7,0.8
mingle,graduation,6.2,0.7
mingle,wedding,6.4,0.9
marry,house,4.4,0.1
marry,church,7,0.8
marry,island,3.7,0.1
marry,backyard,4.8,0.8
marry,prison,1.4,0.1
marry,brewery,1,0.2
applaud,classroom,4.3,0.7
applaud,concert,6.9,0.2
applaud,restaurant,2,0.7
applaud,playground,2,0.2
applaud,theater,6.9,0.8
applaud,arena,6.3,0.8
applaud,stadium,6.7,0.8
applaud,convention,5.5,0.2
beg,school,3.8,0.1
beg,street,5.6,0.8
beg,prison,4.6,0.1
beg,court,5.3,0.1
beg,sidewalk,4.4,0.8
