predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,plate,,0.5,,0.5,The server served the plate of fries to the customer with a side of ketchup.,0.5,,0.5,,0.5,5.9,0.5
serve,tray,The waiter served the tray of drinks on the table.,0.8,The waiter used the tray to carry the drinks to the table.,0.75,The waiter placed the tray of drinks on the table.,0.5,The waiter served the tray of drinks to the customer.,0.8,The waiter used the tray to hold the drinks while the customer was served.,0.75,6.5,0.72
serve,glass,The waiter served the glass of water with a smile.,0.5,The bartender served the drink with a flourish.,0.5,,0.5,,0.5,,0.5,4.9,0.5
serve,platter,,0.0,,0.0,,0.0,,0.0,,0.0,5.8,0.0
serve,bucket,The bucket served as a container for the water.,0.5,The bucket served as a tool for pouring the water.,0.8,The bucket served as a vessel for the water.,0.5,The bucket served as a receptacle for the water.,0.5,"The bucket served as a container for the water, and it was used to pour the water into the sink.",0.75,1.4,0.61
sweep,mop,The mop swept the floor with ease.,1.0,The sweep of the mop was soothing to the carpet.,0.8,The mop swept up the crumbs with a satisfying swish.,0.8,The sweep of the mop was a relief after a messy day.,0.8,The mop swept away the dirt with a quick motion.,1.0,3.7,0.88
sweep,rag,The maid swept the floor with a rag.,1.0,The janitor swept the sidewalk with a broom.,0.8,The gardener swept the leaves with a rake.,0.5,The chef swept the kitchen with a duster.,0.8,The teacher swept the classroom with a mop.,0.5,3.1,0.72
sweep,broom,The broom swept the floor.,1.0,The sweep of the broom cleaned the floor.,1.0,The broom swept the floor with ease.,1.0,The sweep of the broom was quick and efficient.,1.0,The broom swept the floor with a gentle touch.,1.0,7,1.0
sweep,rake,The sweep of the rake across the floor was soothing.,0.8,The rake swept up the leaves with ease.,1.0,The sweep of the rake was a gentle caress.,0.8,The rake swept away the dirt with a satisfying swish.,1.0,The sweep of the rake was a soothing balm for the soul.,0.8,3,0.88
sweep,brush,The sweep of the brush across the floor was soothing.,0.8,The brush swept up the dirt and dust with ease.,1.0,The brush was swept clean by the broom.,0.8,The sweep of the brush across the floor was soothing.,0.8,The brush swept up the dirt and dust with ease.,1.0,3.7,0.88
sweep,rock,The broom swept the floor with ease.,0.0,The sweep of the broom was so smooth.,0.0,The rock was swept away by the broom.,0.5,The broom swept the rock clean.,0.8,The sweep of the broom was so powerful.,0.0,1,0.26
write,pen,I wrote the letter with a pen.,1.0,She wrote the report with a pen.,0.8,He wrote the book with a pen.,0.8,They wrote the article with a pen.,0.8,We wrote the story with a pen.,0.8,6.9,0.84
write,keyboard,I wrote the letter on the keyboard.,0.5,The keyboard was used to write the essay.,1.0,The keyboard was the instrument used to write the poem.,1.0,The keyboard was the tool used to write the story.,1.0,The keyboard was the device used to write the email.,1.0,4.8,0.9
write,thesaurus,,0.0,,0.0,,0.0,,0.0,,0.0,3.8,0.0
write,stick,The pen writes on the paper.,0.5,The pencil writes on the notebook.,0.8,The marker writes on the board.,0.5,The crayon writes on the canvas.,0.5,The ink writes on the paper.,0.0,1.8,0.46
write,pencil,The pencil wrote the letter.,0.5,,1.0,,1.0,,1.0,,1.0,6.8,0.9
write,desk,,0.0,,0.0,,0.0,,0.0,,0.0,4.9,0.0
write,wire,The wire was used to write the letter.,0.8,,0.8,,0.8,,0.8,,0.8,1,0.8
write,sword,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0
