predicate,argument,actual_fit,exp_fit
serve,plate,5.9,0.8
serve,tray,6.5,0.8
serve,glass,4.9,0.2
serve,platter,5.8,0.8
serve,bucket,1.4,0.1
sweep,mop,3.7,0.9
sweep,rag,3.1,0.6
sweep,broom,7,0.9
sweep,rake,3,0.2
sweep,brush,3.7,0.9
sweep,rock,1,0.1
write,pen,6.9,0.9
write,keyboard,4.8,0.9
write,thesaurus,3.8,0.1
write,stick,1.8,0.2
write,pencil,6.8,0.9
write,desk,4.9,0.2
write,wire,1,0.1
write,sword,1,0.1
write,box,1,0.1
paint,brush,6.8,0.9
paint,roller,6.6,0.9
paint,straw,1.4,0.1
paint,paint,7,1.0
paint,can,5.2,0.8
paint,sponge,4.5,0.8
paint,rag,3.9,0.6
shoot,gun,6.8,0.9
shoot,straw,1.5,0.2
shoot,rifle,6.8,0.9
shoot,cannon,4.5,0.9
shoot,pistol,6.5,0.9
shoot,tank,4,0.8
shoot,arrow,5,0.9
dust,Kleenex,3.5,0.7
dust,rag,6.8,0.9
dust,sock,3.2,0.1
dust,cloth,6.2,0.9
dust,water,2.9,0.1
dust,beer,1.1,0.1
cut,knife,6.6,0.9
cut,paper,3,0.1
cut,fork,2.5,0.2
cut,saw,5.9,0.8
cut,scissors,7,0.9
cut,teeth,3.7,0.0
cut,razor,4.6,0.9
eat,fork,6.7,0.8
eat,toothpick,2.1,0.1
eat,knife,6.3,0.8
eat,pliers,1,0.1
eat,spoon,6.3,0.8
eat,cup,3.3,0.1
eat,napkin,3.8,0.0
draw,pen,5.6,0.9
draw,marker,5.8,0.9
draw,paper,6.3,0.1
draw,stapler,1.2,0.1
draw,glue,1.2,0.1
draw,crayon,5.7,0.9
draw,pencil,6.8,0.9
hunt,rocks,1.5,0.1
hunt,rifle,6.7,0.9
hunt,harpoon,5.2,0.8
hunt,net,5.2,0.6
hunt,box,2.1,0.1
hunt,gun,6.7,0.9
hunt,missile,1.4,0.7
measure,protractor,5.1,0.8
measure,string,2.8,0.8
measure,scale,5.8,0.9
measure,ruler,6.8,0.9
measure,balance,5.2,0.2
measure,stick,1.7,0.8
measure,pencil,3.2,0.8
cure,medicine,6.9,0.9
cure,herbs,5.4,0.8
cure,therapy,5.9,0.9
cure,kiss,3.3,0.1
cure,acupuncture,4,0.7
