predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,library,The library serves as a place for people to study and learn.,1.0,The library serves as a resource for researchers to access information.,1.0,The library serves as a community center for the local community.,1.0,The library serves as a place for people to relax and unwind.,0.75,The library serves as a hub for cultural events and activities.,1.0,2.4,0.95
serve,restaurant,The restaurant serves delicious food.,0.75,The restaurant serves a variety of cuisines.,0.75,The restaurant serves drinks.,0.75,The restaurant serves desserts.,0.75,The restaurant serves breakfast.,0.75,7,0.75
serve,hospital,The hospital serves as a place of healing for patients.,1.0,The hospital serves as a source of medical care for the community.,1.0,The hospital serves as a place of refuge for those in need.,1.0,The hospital serves as a place of learning for medical students.,1.0,The hospital serves as a place of research for medical professionals.,0.75,5.1,0.95
sweep,living room,The broom swept the living room.,0.75,The vacuum cleaner swept the living room.,0.75,The dustpan and brush swept the living room.,0.75,The broom swept the living room floor.,0.75,The vacuum cleaner swept the living room floor.,0.75,2.3,0.75
sweep,bathroom,I sweep the bathroom every day to keep it clean.,0.75,The maid sweeps the bathroom every week to keep it spotless.,0.75,The sweeper sweeps the bathroom every month to remove dirt and dust.,0.75,The janitor sweeps the bathroom every day to keep it tidy.,0.75,The sweeper sweeps the bathroom every week to remove all the dirt and dust.,0.75,4.8,0.75
sweep,restaurant,The sweep of the restaurant's exterior was impressive.,0.75,The restaurant's sweep of the dining area was clean and well-organized.,0.75,The sweep of the restaurant's parking lot was smooth and easy to navigate.,0.75,The restaurant's sweep of the kitchen was efficient and well-equipped.,0.75,The sweep of the restaurant's service was friendly and attentive.,0.75,6.1,0.75
sweep,kitchen,The broom swept the kitchen floor.,0.75,The dustpan swept up the crumbs.,0.75,,0.75,The mop swept the floor.,0.75,,0.75,6.8,0.75
sweep,barn,The sweep of the barn's roof was impressive.,0.75,The barn's sweep was a sight to behold.,0.75,The barn's sweep was a beautiful sight.,0.75,The sweep of the barn was a sight to behold.,0.75,The sweep of the barn was a beautiful sight.,0.75,4.6,0.75
sweep,theatre,The sweep of the theatre's stage was impressive.,0.75,The theatre's sweep was breathtaking.,0.75,The sweep of the theatre's auditorium was grand.,0.75,The theatre's sweep was majestic.,0.75,The sweep of the theatre's balcony was stunning.,0.75,4.7,0.75
act,stage,The actor performed on stage.,0.75,The actress acted on stage.,0.75,The actor acted on the stage.,0.75,The actress performed on the stage.,0.75,The actor performed on the stage.,0.75,6.9,0.75
act,school,The school acted as a place of learning.,1.0,The school acted as a place of education.,1.0,The school acted as a place of study.,1.0,The school acted as a place of research.,0.75,The school acted as a place of innovation.,0.75,5.1,0.9
act,work,The work is acting in the location.,0.25,,0.25,The work is acting in the location.,0.25,,0.25,The work is acting in the location.,0.25,2.9,0.25
act,theater,The theater acted in the play.,0.75,The play was acted in the theater.,0.75,The theater was the location of the act.,0.75,The act was performed in the theater.,0.75,The theater was the site of the act.,0.75,6.9,0.75
