predicate,argument,actual_fit,exp_fit
serve,library,2.4,0.8
serve,restaurant,7,0.8
serve,hospital,5.1,0.8
sweep,living room,2.3,0.8
sweep,bathroom,4.8,0.8
sweep,restaurant,6.1,0.5
sweep,kitchen,6.8,0.8
sweep,barn,4.6,0.5
sweep,theatre,4.7,0.5
act,stage,6.9,0.5
act,school,5.1,0.5
act,work,2.9,0.5
act,theater,6.9,0.5
act,party,4.1,0.5
act,gymnasium,3.7,0.5
act,playground,2.9,0.5
examine,hospital,6.9,0.8
examine,office,4.7,0.8
examine,laboratory,6.8,0.8
examine,school,5.2,0.5
examine,court,5.9,0.5
examine,bank,3.8,0.8
gamble,bar,4.3,0.5
gamble,racetrack,6.8,0.5
gamble,casino,7,0.8
gamble,hotel,3.5,0.5
gamble,party,3.5,0.5
gamble,mall,2,0.5
gamble,airport,1.8,0.5
gamble,arena,3.8,0.5
drive,highway,7,0.8
drive,racetrack,6.2,0.5
drive,rink,2.8,0.5
drive,sidewalk,2.1,0.5
drive,ditch,1.7,0.5
drive,field,3.7,0.5
hunt,forest,6.9,0.8
hunt,lake,4.3,0.8
hunt,backyard,2.2,0.8
hunt,ocean,3.2,0.5
hunt,swamp,3.5,0.8
hunt,meadow,4.1,0.8
hunt,garden,2,0.5
browse,store,6.9,0.8
browse,classroom,2.5,0.5
browse,library,6.2,0.8
browse,gallery,6.8,0.8
browse,museum,6.6,0.8
browse,bar,3.2,0.5
bury,sandbox,6.3,0.5
bury,concrete,2.9,0.5
bury,ground,6.1,0.8
bury,cemetery,7,0.8
bury,dump,4.8,0.5
bury,subway,1.4,0.5
mingle,party,6.9,0.8
mingle,mall,4.3,0.5
mingle,office,4,0.5
mingle,bar,6.7,0.5
mingle,graduation,6.2,0.5
mingle,wedding,6.4,0.5
marry,house,4.4,0.0
marry,church,7,0.5
marry,island,3.7,0.5
marry,backyard,4.8,0.5
marry,prison,1.4,0.0
marry,brewery,1,0.0
applaud,classroom,4.3,0.5
applaud,concert,6.9,0.5
applaud,restaurant,2,0.5
applaud,playground,2,0.5
