predicate,argument,role_type,actual_fit,exp_fit
abandon,baby,ARG0,3,1.0
abandon,baby,ARG1,2.8,1.0
abandon,cat,ARG0,4.6,0.0
abandon,cat,ARG1,4.8,1.0
abandon,child,ARG0,4.6,1.0
abandon,child,ARG1,3.1,1.0
abandon,kidnapper,ARG0,3.9,1.0
abandon,kidnapper,ARG1,1.5,0.8
accept,award,ARG0,1.1,1.0
accept,award,ARG1,6.6,1.0
accept,friend,ARG0,6.1,1.0
accept,friend,ARG1,5.8,1.0
accept,neighbor,ARG0,5.4,0.8
accept,neighbor,ARG1,4.4,1.0
accept,student,ARG0,5.9,1.0
accept,student,ARG1,5.3,1.0
accept,teenager,ARG0,5.5,0.75
accept,teenager,ARG1,4.1,0.8
accuse,criminal,ARG0,3.4,1.0
accuse,criminal,ARG1,6.9,1.0
accuse,defendant,ARG0,3.6,1.0
accuse,defendant,ARG1,6.8,1.0
accuse,dog,ARG0,1.3,1.0
accuse,dog,ARG1,3.5,1.0
accuse,prosecutor,ARG0,6.8,1.0
accuse,prosecutor,ARG1,2.6,1.0
accuse,suspect,ARG0,3.3,1.0
accuse,suspect,ARG1,6.8,1.0
accuse,witness,ARG0,6.4,0.8
accuse,witness,ARG1,3.2,0.8
admire,actress,ARG0,4.6,0.8
admire,actress,ARG1,6.4,1.0
admire,athlete,ARG0,4.8,1.0
admire,athlete,ARG1,6.4,1.0
admire,disciple,ARG0,5.6,1.0
admire,disciple,ARG1,4.1,1.0
admire,fan,ARG0,6.8,1.0
admire,fan,ARG1,1.7,1.0
admire,groupie,ARG0,6.9,0.8
admire,groupie,ARG1,1.9,0.8
adopt,baby,ARG0,1.4,0.5
adopt,baby,ARG1,6.4,1.0
adopt,child,ARG0,2,0.5
adopt,child,ARG1,6.2,1.0
adopt,committee,ARG0,5.5,1.0
adopt,committee,ARG1,3.3,0.5
adopt,couple,ARG0,5.9,1.0
adopt,couple,ARG1,1.6,1.0
adopt,policy,ARG0,2.1,1.0
adopt,policy,ARG1,6,0.0
applaud,actress,ARG0,2.9,1.0
applaud,actress,ARG1,6.5,1.0
applaud,critic,ARG0,5,0.8
applaud,critic,ARG1,1.5,0.5
applaud,director,ARG0,4.8,0.8
applaud,director,ARG1,4.5,0.8
applaud,musician,ARG0,2.9,1.0
