predicate,argument,role_type,actual_fit,exp_fit
advise,banker,ARG0,6.0,0.8
advise,banker,ARG1,5.0,1.0
advise,biologist,ARG0,4.2,1.0
advise,biologist,ARG1,5.0,1.0
advise,business,ARG0,5.3,1.0
advise,business,ARG1,5.8,1.0
advise,client,ARG0,3.7,1.0
advise,client,ARG1,6.6,1.0
advise,customer,ARG0,3.8,1.0
advise,customer,ARG1,6.0,1.0
advise,designer-gardener,ARG0,5.8,0.5
advise,designer-gardener,ARG1,3.8,0.8
advise,doctor,ARG0,6.8,1.0
advise,doctor,ARG1,4.0,1.0
advise,expert,ARG0,6.5,1.0
advise,expert,ARG1,3.8,1.0
advise,hospital,ARG0,6.0,0.5
advise,hospital,ARG1,4.0,0.8
advise,investor,ARG0,6.0,1.0
advise,investor,ARG1,6.3,1.0
advise,official,ARG0,6.2,1.0
advise,official,ARG1,5.9,1.0
advise,planner,ARG0,6.3,1.0
advise,planner,ARG1,3.9,1.0
ask,charity,ARG0,5.9,1.0
ask,charity,ARG2,5.2,1.0
ask,congress,ARG0,5.8,1.0
ask,congress,ARG2,6.0,1.0
ask,court,ARG0,6.0,0.8
ask,court,ARG2,5.8,0.8
ask,department,ARG0,4.0,1.0
ask,department,ARG2,5.2,1.0
ask,doctor,ARG0,6.5,1.0
ask,doctor,ARG2,6.7,1.0
ask,firm,ARG0,5.3,1.0
ask,firm,ARG2,5.1,1.0
ask,official,ARG0,6.1,0.8
ask,official,ARG2,6.6,1.0
ask,police,ARG0,6.5,1.0
ask,police,ARG2,6.2,1.0
ask,prosecutor,ARG0,6.6,1.0
ask,prosecutor,ARG2,6.3,1.0
ask,state,ARG0,3.8,0.8
ask,state,ARG2,3.8,0.8
ask,union,ARG0,6.0,1.0
ask,union,ARG2,5.3,
caution,bank,ARG0,4.2,0.8
caution,bank,ARG2,2.3,0.8
caution,developer,ARG0,3.8,0.8
caution,developer,ARG2,5.0,0.8
caution,friend,ARG0,5.6,0.8
caution,friend,ARG2,5.0,0.8
caution,judges,ARG0,5.4,0.8
caution,judges,ARG2,3.7,0.8
caution,lady,ARG0,5.0,0.8
caution,lady,ARG2,5.0,0.8
caution,leader,ARG0,5.9,0.8
caution,leader,ARG2,5.0,0.8
caution,police,ARG0,6.6,1.0
caution,police,ARG2,2.2,0.8
caution,professional,ARG0,5.0,0.8
caution,professional,ARG2,5.1,0.8
caution,rain,ARG0,1.2,0.8
caution,rain,ARG2,1.3,0.8
caution,trader,ARG0,3.2,1.0
caution,trader,ARG2,5.1,0.8
caution,user,ARG0,3.8,1.0
caution,user,ARG2,5.4,1.0
caution,woman,ARG0,5.7,0.8
caution,woman,ARG2,5.7,0.8
confuse,baby,ARG0,3.7,0.8
confuse,baby,ARG1,6.0,1.0
confuse,boatman,ARG0,2.1,0.8
confuse,boatman,ARG1,3.2,0.8
confuse,comment,ARG0,5.8,0.8
confuse,comment,ARG1,1.5,0.8
confuse,community,ARG0,3.5,0.8
confuse,community,ARG1,4.9,0.8
confuse,computer,ARG0,5.4,0.8
confuse,computer,ARG1,4.1,0.8
confuse,condition,ARG0,4.6,0.8
confuse,condition,ARG1,2.5,0.8
confuse,equipment,ARG0,4.9,0.8
confuse,equipment,ARG1,1.4,0.8
confuse,insistence,ARG0,4.2,0.8
confuse,insistence,ARG1,1.4,0.8
confuse,sense,ARG0,4.0,0.8
confuse,sense,ARG1,3.8,0.8
confuse,shareholder,ARG0,3.3,0.8
confuse,shareholder,ARG1,5.0,0.8
confuse,situation,ARG0,6.0,0.8
