predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,library,The library serves as a place for people to study and learn.,1.0,The library serves as a resource for researchers to access information.,1.0,The library serves as a community center for the local community.,1.0,The library serves as a place for people to relax and unwind.,1.0,The library serves as a hub for cultural events and activities.,1.0,2.4,1.0
serve,restaurant,The restaurant serves delicious food.,1.0,The restaurant serves a variety of cuisines.,1.0,The restaurant serves drinks.,0.8,The restaurant serves desserts.,0.8,The restaurant serves breakfast.,0.8,7,0.88
serve,hospital,The hospital serves as a place of healing for patients.,1.0,The hospital serves as a source of medical care for the community.,1.0,The hospital serves as a place of refuge for those in need.,1.0,The hospital serves as a place of learning for medical students.,1.0,The hospital serves as a place of research for medical professionals.,1.0,5.1,1.0
sweep,living room,The broom swept the living room.,1.0,The vacuum cleaner swept the living room.,1.0,The dustpan and brush swept the living room.,1.0,The broom swept the living room floor.,0.8,The vacuum cleaner swept the living room floor.,0.8,2.3,0.92
sweep,bathroom,I sweep the bathroom every day to keep it clean.,1.0,The maid sweeps the bathroom every week to keep it spotless.,1.0,The sweeper sweeps the bathroom every month to remove dirt and dust.,1.0,The janitor sweeps the bathroom every day to keep it tidy.,1.0,The sweeper sweeps the bathroom every week to remove all the dirt and dust.,1.0,4.8,1.0
sweep,restaurant,The sweep of the restaurant's exterior was impressive.,0.8,The restaurant's sweep of the dining area was clean and well-organized.,1.0,The sweep of the restaurant's parking lot was smooth and easy to navigate.,0.8,The restaurant's sweep of the kitchen was efficient and well-equipped.,0.8,The sweep of the restaurant's service was friendly and attentive.,0.8,6.1,0.84
sweep,kitchen,The broom swept the kitchen floor.,0.8,The dustpan swept up the crumbs.,0.5,,1.0,The mop swept the floor.,0.5,,1.0,6.8,0.76
sweep,barn,The sweep of the barn's roof was impressive.,0.8,The barn's sweep was a sight to behold.,0.8,The barn's sweep was a beautiful sight.,0.8,The sweep of the barn was a sight to behold.,1.0,The sweep of the barn was a beautiful sight.,0.8,4.6,0.84
sweep,theatre,The sweep of the theatre's stage was impressive.,0.8,The theatre's sweep was breathtaking.,1.0,The sweep of the theatre's auditorium was grand.,0.8,The theatre's sweep was majestic.,1.0,The sweep of the theatre's balcony was stunning.,0.8,4.7,0.88
act,stage,The actor performed on stage.,1.0,The actress acted on stage.,1.0,The actor acted on the stage.,1.0,The actress performed on the stage.,1.0,The actor performed on the stage.,1.0,6.9,1.0
act,school,The school acted as a place of learning.,1.0,The school acted as a place of education.,1.0,The school acted as a place of study.,1.0,The school acted as a place of research.,1.0,The school acted as a place of innovation.,1.0,5.1,1.0
act,work,The work is acting in the location.,0.5,,0.0,The work is acting in the location.,0.5,,0.0,The work is acting in the location.,0.5,2.9,0.3
act,theater,The theater acted in the play.,1.0,The play was acted in the theater.,1.0,The theater was the location of the act.,1.0,The act was performed in the theater.,1.0,The theater was the site of the act.,1.0,6.9,1.0
act,party,The party was held at the park.,0.8,The party was held in the backyard.,1.0,The party was held in the living room.,0.8,The party was held in the kitchen.,0.8,The party was held in the bedroom.,1.0,4.1,0.88
act,gymnasium,The gymnasium is where the students act out their sports.,0.8,The gymnasium is where the students act out their dance routines.,0.8,The gymnasium is where the students act out their plays.,0.8,The gymnasium is where the students act out their musical performances.,0.8,The gymnasium is where the students act out their theatrical performances.,0.8,3.7,0.8
act,playground,The children played on the playground.,1.0,The playground was a popular spot for the kids to play.,0.8,The playground was a great place for the children to run around.,0.8,The playground was a fun place for the kids to play hide and seek.,0.8,The playground was a place where the children could let off steam and have fun.,0.8,2.9,0.84
