predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
serve,plate,The waiter served the plate of spaghetti to the customer with a smile.,0.5,,0.5,The server served the plate of fries to the customer with a side of ketchup.,0.5,The waiter served the plate of pasta to the customer with a side of garlic bread.,0.5,,0.5,5.9,0.5
serve,tray,The waiter served the tray of drinks on the table.,0.8,The waiter used the tray to carry the drinks to the table.,0.8,,0.5,The waiter served the tray of drinks to the customer.,0.75,The waiter used the tray to hold the drinks while the customer was served.,0.5,6.5,0.67
serve,glass,The waiter served the glass of water with a smile.,0.5,,0.5,,0.5,,0.5,,0.5,4.9,0.5
serve,platter,The waiter served the platter with the main course.,0.5,The chef served the platter with the appetizer.,0.5,The server served the platter with the dessert.,0.5,The waiter served the platter with the drinks.,0.5,,0.5,5.8,0.5
serve,bucket,The bucket served as a container for the water.,0.8,The bucket served as a tool for pouring the water.,0.8,The bucket served as a vessel for the water.,0.8,The bucket served as a receptacle for the water.,0.8,"The bucket served as a container for the water, and it was used to pour the water into the sink.",0.8,1.4,0.8
sweep,mop,The mop swept the floor with ease.,1.0,The sweep of the mop was soothing to the carpet.,0.8,The mop swept up the crumbs with a satisfying swish.,0.8,The sweep of the mop was a relief after a messy day.,0.8,The mop swept away the dirt with a quick motion.,1.0,3.7,0.88
sweep,rag,The maid swept the floor with a rag.,0.8,,0.8,,0.8,The chef swept the kitchen with a duster.,0.8,,0.8,3.1,0.8
sweep,broom,The broom swept the floor.,1.0,The sweep of the broom cleaned the floor.,0.8,The broom swept the floor with ease.,1.0,The sweep of the broom was quick and efficient.,1.0,The broom swept the floor with a gentle touch.,0.8,7,0.92
sweep,rake,The sweep of the rake across the floor was soothing.,0.8,The rake swept up the leaves with ease.,1.0,The sweep of the rake was a gentle caress.,0.8,The rake swept away the dirt with a satisfying swish.,1.0,The sweep of the rake was a soothing balm for the soul.,0.8,3,0.88
sweep,brush,The sweep of the brush across the floor was soothing.,0.8,The brush swept up the dirt and dust with ease.,1.0,The brush was swept clean by the broom.,0.8,The sweep of the brush across the floor was soothing.,0.8,The brush swept up the dirt and dust with ease.,1.0,3.7,0.88
sweep,rock,,0.5,,0.5,The rock was swept away by the broom.,0.5,The broom swept the rock clean.,0.5,,0.5,1,0.5
write,pen,I wrote the letter with a pen.,0.8,She wrote the report with a pen.,0.8,He wrote the book with a pen.,0.8,They wrote the article with a pen.,0.8,We wrote the story with a pen.,0.8,6.9,0.8
write,keyboard,I wrote the letter on the keyboard.,0.5,The keyboard was used to write the essay.,0.8,The keyboard was the instrument used to write the poem.,0.5,The keyboard was the tool used to write the story.,0.5,The keyboard was the device used to write the email.,0.8,4.8,0.62
