predicate,argument,role_type,reasons 1,reasons 2,reasons 3
serve,plate,Instrument,The Instrument role should have the properties of being a tool or instrument used to perform the action of serving.,The argument 'plate' has the properties of being a surface or container used to hold or support the food being served.,"The argument 'plate' does not fit the Instrument role for the predicate 'serve' because it is not a tool or instrument used to perform the action of serving. The Instrument role is typically filled by a tool or instrument that is used to perform the action of the verb, such as a spoon or a fork. The argument 'plate' is a surface or container used to hold or support the food being served, but it is not a tool or instrument used to perform the action of serving."
serve,tray,Instrument,The Instrument role should have the properties of being a tool or instrument used to perform the action of serving.,The argument 'tray' has the properties of being a tool or instrument used to perform the action of serving.,The argument 'tray' fits the Instrument role for the predicate 'serve' because it is a tool or instrument used to perform the action of serving.
serve,glass,Instrument,The Instrument role should have the properties of being a tool or instrument used to perform the action of serving.,The argument 'glass' has the property of being a container for the served food or drink.,"  The argument 'glass' does not fit the Instrument role for the predicate 'serve' because a glass is not a tool or instrument used to perform the action of serving. The Instrument role is typically used for objects that are used to perform an action, such as a spoon or a fork. In the case of the predicate 'serve', the Instrument role would be more appropriate for objects such as a waiter or a waitress, who use a glass to pour the drink or food."
serve,platter,Instrument,The Instrument role should have the properties of being a tool or instrument used to perform the action of serving.,The argument 'platter' has the property of being a surface or container used to hold or present food or drinks.,The argument 'platter' does not fit the Instrument role for the predicate 'serve' because a platter is not a tool or instrument used to perform the action of serving. A platter is a surface or container used to hold or present food or drinks.
serve,bucket,Instrument,The Instrument role should have the properties of being a tool or instrument used to perform the action of serving.,The argument 'bucket' has the property of being a container used to hold or store something.,"  The argument 'bucket' does not fit the Instrument role for the predicate 'serve' because a bucket is not typically used as a tool or instrument to perform the action of serving. The Instrument role is typically used for objects that are used to perform an action, such as a spoon or a fork."
sweep,mop,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'mop' has the properties of being a tool used for cleaning and sweeping.,The argument 'mop' fits the Instrument role for the predicate 'sweep' because it is a tool used for cleaning and sweeping.
sweep,rag,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'rag' has the property of being a material used for cleaning or wiping.,"  The argument 'rag' fits the Instrument role for the predicate 'sweep' because it is a material used for cleaning or wiping, which is a necessary tool for performing the action of sweeping."
sweep,broom,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'broom' has the properties of being a tool used for sweeping.,  The argument 'broom' fits the Instrument role for the predicate 'sweep' because it is a tool used to perform the action of sweeping.
sweep,rake,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'rake' has the properties of being a tool used for sweeping.,  The argument 'rake' fits the Instrument role for the predicate 'sweep' because it is a tool used to perform the action of sweeping.
sweep,brush,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'brush' has the property of being a tool used to sweep.,The argument 'brush' fits the Instrument role for the predicate 'sweep' because it is a tool used to perform the action of sweeping.
sweep,rock,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of sweeping.,The argument 'rock' has the property of being a physical object that can be used to sweep.,  The argument 'rock' fits the Instrument role for the predicate 'sweep' because it is a physical object that can be used to sweep or clean a surface.
write,pen,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,"The argument 'pen' has the properties of being a writing instrument, which is relevant to the predicate 'write'.",The argument 'pen' fits the Instrument role for the predicate 'write' because it is a tool used to perform the action of writing.
write,keyboard,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'keyboard' has the properties of being a tool used to perform the action of writing.,The argument 'keyboard' fits the Instrument role for the predicate 'write' because it is a tool used to perform the action of writing.
